step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,50,2125,848.3,0,16.97,1.0,0
1,50,2004,939.6,0,18.79,2.0,0
2,49,2031,989.5,1,20.19,3.0,0
3,49,1941,1050.4,1,21.44,4.0,0
4,49,2002,1095.3,1,22.35,5.0,0
5,48,1911,1157.8,2,24.12,6.0,0
6,47,1984,1196.9,3,25.47,7.0,0
7,47,1912,1241.0,3,26.4,8.0,0
8,46,1997,1268.7,4,27.58,9.0,0
9,46,1933,1305.4,4,28.38,10.0,0
10,46,2007,1330.1,4,28.91,11.0,0
11,46,1945,1364.8,4,29.67,12.0,0
12,46,2014,1385.4,4,30.12,13.0,0
13,46,1955,1417.1,4,30.81,14.0,0
14,46,2010,1451.8,4,31.56,15.0,0
15,46,1944,1490.5,4,32.4,16.0,0
16,45,2016,1518.8,5,33.75,17.0,0
17,44,1955,1553.7,6,35.31,18.0,0
18,44,2029,1575.5,6,35.81,19.0,0
19,44,1972,1606.4,6,36.51,20.0,0
20,44,2040,1629.3,6,37.03,21.0,0
21,43,1988,1655.7,7,38.51,22.0,0
22,43,2053,1673.2,7,38.91,23.0,0
23,42,1991,1710.3,8,40.72,24.0,0
24,42,2056,1725.3,8,41.08,25.0,0
25,41,1994,1762.8,8,43.0,26.0,0
26,39,2058,1777.7,10,45.58,27.0,0
27,39,2005,1807.5,10,46.35,28.0,0
28,39,2064,1813.4,10,46.5,29.0,0
29,39,2007,1847.2,10,47.36,30.0,0
30,38,2061,1861.6,11,48.99,31.0,0
31,37,2014,1886.7,12,50.99,32.0,0
32,37,2059,1909.7,12,51.61,33.0,0
33,37,1997,1949.7,12,52.7,34.0,0
34,37,2051,1969.8,12,53.24,35.0,0
35,38,2006,1992.8,12,52.44,35.05,1
36,38,2059,2013.2,12,52.98,36.05,1
37,38,1999,2050.7,12,53.96,37.05,1
38,39,2053,2069.1,12,53.05,37.08,2
39,39,1997,2101.9,12,53.9,38.08,2
40,39,2058,2114.8,12,54.23,39.08,2
41,39,1998,2151.6,12,55.17,40.08,2
42,39,2052,2170.5,12,55.65,41.08,2
43,39,1998,2201.3,12,56.44,42.08,2
44,39,2042,2226.1,12,57.08,43.08,2
45,38,1986,2259.6,13,59.46,45.05,2
46,38,2046,2275.0,13,59.87,46.05,2
