step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,49,613,764.9,1,15.61,1.0,0
1,49,521,770.7,1,15.73,2.0,0
2,49,557,733.6,1,14.97,3.0,0
3,48,497,709.2,2,14.78,4.0,0
4,47,551,670.6,3,14.27,5.0,0
5,47,482,657.0,3,13.98,6.0,0
6,47,522,633.4,3,13.48,7.0,0
7,47,459,613.8,3,13.06,8.0,0
8,45,502,590.8,3,13.13,9.0,0
9,45,442,571.7,3,12.7,10.0,0
10,45,508,532.6,3,11.84,11.0,0
11,45,450,511.5,3,11.37,12.0,0
12,43,519,472.1,3,10.98,13.0,0
13,42,469,448.3,4,10.67,14.0,0
14,39,525,418.6,4,10.73,15.0,0
15,39,474,401.0,4,10.28,16.0,0
16,39,523,375.5,4,9.63,17.0,0
17,38,469,361.6,4,9.51,18.0,0
18,38,523,335.8,4,8.84,19.0,0
19,37,473,319.0,4,8.62,20.0,0
20,36,526,295.8,4,8.22,21.0,0
21,34,476,283.9,4,8.35,22.0,0
22,30,524,262.9,4,8.76,23.0,0
23,26,490,246.4,5,9.48,24.0,0
24,25,539,235.5,6,9.42,25.0,0
25,24,500,231.3,6,9.64,26.0,0
26,24,547,221.1,6,9.21,27.0,0
27,23,506,220.1,6,9.57,28.0,0
28,22,546,215.4,7,9.79,29.0,0
29,21,515,209.5,8,9.98,30.0,0
30,19,559,195.6,8,10.29,31.0,0
31,18,534,187.7,8,10.43,32.0,0
32,15,573,177.6,8,11.84,33.0,0
33,15,554,170.3,8,11.35,34.0,0
34,14,590,160.4,8,11.46,35.0,0
35,14,570,155.8,8,11.13,36.0,0
36,13,599,146.3,8,11.25,37.0,0
37,13,573,149.4,8,11.49,38.0,0
38,12,600,139.1,8,11.59,39.0,0
39,12,578,140.0,8,11.67,40.0,0
40,12,600,137.9,8,11.49,41.0,0
41,12,581,135.8,8,11.32,42.0,0
42,12,599,134.7,8,11.23,43.0,0
43,12,582,130.6,8,10.89,44.0,0
44,12,603,123.5,8,10.3,45.0,0
45,12,587,118.5,8,9.87,46.0,0
46,11,604,110.0,8,10.0,47.0,0
47,10,593,103.4,9,10.34,48.0,0
48,10,609,97.8,9,9.78,49.0,0
49,10,596,93.2,9,9.32,50.0,0
50,9,612,86.3,9,9.59,51.0,0
51,10,603,79.5,9,7.95,46.8,1
52,8,617,74.8,10,9.35,46.5,1
53,8,603,74.8,10,9.35,47.5,1
54,6,619,73.1,11,12.19,46.33,1
55,6,613,68.6,11,11.43,47.33,1
56,6,631,63.0,11,10.51,48.33,1
57,6,617,66.5,11,11.08,49.33,1
58,6,630,66.0,11,10.99,50.33,1
59,5,623,62.9,11,12.57,49.6,1
60,4,630,68.3,11,17.08,48.0,1
61,4,617,74.3,11,18.57,49.0,1
62,4,636,69.2,11,17.31,50.0,1
63,4,630,68.2,11,17.05,51.0,1
64,4,644,65.2,11,16.29,52.0,1
65,4,633,69.1,11,17.29,53.0,1
66,3,641,66.3,11,22.11,49.67,1
67,3,635,67.0,11,22.35,50.67,1
68,3,641,68.8,11,22.92,51.67,1
69,3,633,71.5,11,23.83,52.67,1
70,3,644,69.2,11,23.08,53.67,1
71,3,638,70.0,11,23.32,54.67,1
72,3,649,68.7,11,22.89,55.67,1
73,3,646,66.4,11,22.14,56.67,1
74,3,650,67.1,11,22.38,57.67,1
75,3,643,68.9,11,22.95,58.67,1
76,2,649,67.9,11,33.97,51.0,1
77,2,643,70.4,11,35.21,52.0,1
78,2,653,66.9,11,33.45,53.0,1
79,2,651,65.4,11,32.69,54.0,1
80,2,659,63.9,11,31.94,55.0,1
81,2,657,62.4,11,31.18,56.0,1
82,2,662,58.8,11,29.42,57.0,1
83,2,660,57.3,11,28.66,58.0,1
84,2,662,56.8,11,28.4,59.0,1
85,2,660,55.3,11,27.65,60.0,1
86,2,662,51.8,11,25.89,61.0,1
87,2,660,50.3,11,25.13,62.0,1
88,2,657,53.7,11,26.87,63.0,1
89,2,655,52.2,11,26.12,64.0,1
90,2,657,51.7,11,25.86,65.0,1
91,2,653,52.2,11,26.1,66.0,1
92,2,659,48.7,11,24.34,67.0,1
93,2,657,47.2,11,23.58,68.0,1
94,2,658,48.7,11,24.33,69.0,1
95,2,653,50.1,11,25.07,70.0,1
96,2,656,50.6,11,25.31,71.0,1
97,2,654,49.1,11,24.55,72.0,1
98,2,660,45.6,11,22.8,73.0,1
99,2,658,44.1,11,22.04,74.0,1
100,1,662,42.1,11,42.09,49.0,1
101,1,661,41.3,11,41.33,50.0,1
102,1,664,39.6,11,39.58,51.0,1
103,1,663,38.8,11,38.82,52.0,1
104,1,665,37.1,11,37.06,53.0,1
105,1,664,36.3,11,36.3,54.0,1
106,1,665,34.5,11,34.55,55.0,1
107,1,664,33.8,11,33.79,56.0,1
108,1,665,32.0,11,32.03,57.0,1
109,1,664,31.3,11,31.27,58.0,1
110,1,665,29.5,11,29.51,59.0,1
111,1,664,28.8,11,28.76,60.0,1
112,1,665,27.0,11,27.0,61.0,1
113,1,664,26.2,11,26.24,62.0,1
114,1,665,24.5,11,24.48,63.0,1
115,1,664,23.7,11,23.73,64.0,1
116,1,662,26.0,11,25.97,65.0,1
117,1,659,27.2,11,27.21,66.0,1
118,1,661,26.5,11,26.45,67.0,1
119,1,657,28.7,11,28.7,68.0,1
120,1,661,26.9,11,26.94,69.0,1
121,1,660,26.2,11,26.18,70.0,1
122,1,662,26.4,11,26.42,71.0,1
123,1,661,25.7,11,25.66,72.0,1
124,1,663,23.9,11,23.91,73.0,1
125,1,662,23.1,11,23.15,74.0,1
126,1,664,21.4,11,21.39,75.0,1
127,1,663,20.6,11,20.63,76.0,1
128,1,665,18.9,11,18.88,77.0,1
129,1,664,18.1,11,18.12,78.0,1
130,1,665,16.4,11,16.36,79.0,1
131,1,664,15.6,11,15.6,80.0,1
132,1,665,13.8,11,13.84,81.0,1
133,1,664,13.1,11,13.09,82.0,1
134,1,665,11.3,11,11.33,83.0,1
135,1,664,10.6,11,10.57,84.0,1
136,1,665,8.8,11,8.81,85.0,1
137,1,664,8.1,11,8.06,86.0,1
138,1,665,6.3,11,6.3,87.0,1
139,1,661,8.5,11,8.54,88.0,1
140,1,663,6.8,11,6.78,89.0,1
141,1,662,6.0,11,6.02,90.0,1
142,1,662,6.3,11,6.27,91.0,1
143,1,661,5.5,11,5.51,92.0,1
144,1,662,4.8,11,4.75,93.0,1
145,1,657,8.0,11,7.99,94.0,1
146,1,657,10.2,11,10.24,95.0,1
147,1,655,10.5,11,10.48,96.0,1
148,1,657,10.7,11,10.72,97.0,1
149,1,656,10.0,11,9.96,98.0,1
150,1,660,8.2,11,8.21,99.0,1
151,1,659,7.4,11,7.45,100.0,1
152,1,663,5.7,11,5.69,101.0,1
153,1,660,6.9,11,6.93,102.0,1
154,1,663,5.2,11,5.17,103.0,1
155,1,662,4.4,11,4.42,104.0,1
156,1,664,2.7,11,2.66,105.0,1
157,1,663,1.9,11,1.9,106.0,1
158,1,662,3.1,11,3.14,107.0,1
159,1,657,6.4,11,6.39,108.0,1
160,1,660,4.6,11,4.63,109.0,1
161,1,659,3.9,11,3.87,110.0,1
162,1,659,6.1,11,6.11,111.0,1
163,1,658,5.4,11,5.35,112.0,1
164,1,662,3.6,11,3.6,113.0,1
165,1,661,2.8,11,2.84,114.0,1
166,1,661,3.1,11,3.08,115.0,1
167,1,657,5.3,11,5.32,116.0,1
168,1,660,3.6,11,3.57,117.0,1
169,1,659,2.8,11,2.81,118.0,1
170,1,662,1.1,11,1.05,119.0,1
171,1,661,0.3,11,0.29,120.0,1
172,0,664,0,11,0,0,1
