step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,48,175,686.4,2,14.3,1.0,0
1,47,147,630.6,3,13.42,2.0,0
2,47,148,569.7,3,12.12,3.0,0
3,47,125,508.9,3,10.83,4.0,0
4,46,140,446.7,5,9.71,4.89,1
5,46,114,390.6,5,8.49,5.89,1
6,45,137,328.3,6,7.3,6.89,1
7,44,110,276.9,7,6.29,7.89,1
8,26,131,232.1,8,8.93,8.81,1
9,23,116,205.1,10,8.92,10.0,1
10,17,142,181.1,10,10.65,11.0,1
11,16,130,163.1,10,10.2,12.0,1
12,13,155,143.2,10,11.01,13.0,1
13,12,144,131.9,10,11.0,14.0,1
14,11,160,119.3,10,10.84,15.0,1
15,10,146,114.3,10,11.43,16.0,1
16,9,162,104.7,10,11.64,17.0,1
17,8,154,98.5,11,12.31,18.0,1
18,8,166,92.2,11,11.53,19.0,1
19,7,156,89.6,11,12.8,20.0,1
20,7,171,80.1,11,11.45,21.0,1
21,7,165,73.6,11,10.52,22.0,1
22,6,174,64.9,11,10.81,23.0,1
23,6,170,58.2,11,9.7,24.0,1
24,6,177,48.5,11,8.08,25.0,1
25,5,173,43.1,11,8.63,26.0,1
26,4,179,36.4,11,9.1,27.0,1
27,3,178,32.0,12,10.68,28.0,1
28,2,183,27.5,12,13.76,29.0,1
29,2,182,24.9,12,12.47,30.0,1
30,1,186,22.0,12,21.96,31.0,1
31,1,183,23.2,12,23.17,32.0,1
32,1,181,26.4,12,26.39,33.0,1
33,1,180,25.6,12,25.61,34.0,1
34,1,183,23.8,12,23.82,35.0,1
35,1,182,23.0,12,23.04,36.0,1
36,1,184,21.3,12,21.26,37.0,1
37,1,183,20.5,12,20.47,38.0,1
38,1,184,18.7,12,18.69,39.0,1
39,1,183,17.9,12,17.91,40.0,1
40,1,184,16.1,12,16.12,41.0,1
41,1,183,15.3,12,15.34,42.0,1
42,1,184,13.6,12,13.55,43.0,1
43,1,183,12.8,12,12.77,44.0,1
44,1,184,11.0,12,10.99,45.0,1
45,1,183,10.2,12,10.2,46.0,1
46,1,184,8.4,12,8.42,47.0,1
47,1,183,7.6,12,7.64,48.0,1
48,1,182,8.9,12,8.85,49.0,1
49,1,181,8.1,12,8.07,50.0,1
50,1,183,6.3,12,6.29,51.0,1
51,1,182,5.5,12,5.5,52.0,1
52,1,184,3.7,12,3.72,53.0,1
53,1,183,2.9,12,2.94,54.0,1
54,1,185,1.2,12,1.15,55.0,1
55,1,184,0.4,12,0.37,56.0,1
56,0,186,0,12,0,0,1
