step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,50,843,837.2,0,16.74,1.0,0
1,49,703,927.4,1,18.93,2.0,0
2,48,713,986.6,2,20.55,3.0,0
3,47,607,1044.8,3,22.23,4.0,0
4,44,681,1078.1,6,24.5,5.0,0
5,44,577,1137.3,6,25.85,6.0,0
6,42,674,1166.7,8,27.78,7.0,0
7,40,595,1205.0,10,30.12,8.0,0
8,40,686,1232.3,10,30.81,9.0,0
9,39,602,1276.7,11,32.74,10.0,0
10,39,702,1301.0,11,33.36,11.0,0
11,39,618,1345.4,11,34.5,12.0,0
12,38,703,1384.8,12,36.44,13.0,0
13,38,626,1423.2,12,37.45,14.0,0
14,36,707,1452.8,13,40.36,15.0,0
15,36,617,1506.2,13,41.84,16.0,0
16,35,701,1539.6,14,43.99,17.0,0
17,34,634,1572.1,15,46.24,18.0,0
18,33,722,1592.5,16,48.26,19.0,0
19,32,662,1620.0,17,50.62,20.0,0
20,29,751,1625.5,20,56.05,21.0,0
21,28,692,1656.0,21,59.14,22.0,0
22,28,759,1671.6,21,59.7,23.0,0
23,28,705,1697.1,21,60.61,24.0,0
24,28,766,1709.7,21,61.06,25.0,0
25,25,718,1732.2,24,69.29,26.0,0
26,25,775,1748.8,24,69.95,27.0,0
27,25,727,1771.4,24,70.86,28.0,0
28,25,777,1787.0,24,71.48,29.0,0
29,26,713,1825.6,24,70.22,28.85,1
30,25,763,1844.2,25,73.77,29.8,1
31,24,715,1867.8,26,77.82,30.75,1
32,23,777,1875.4,27,81.54,31.7,1
33,23,724,1905.0,27,82.83,32.7,1
34,24,779,1914.7,27,79.78,32.29,2
35,23,727,1943.3,28,84.49,33.17,2
36,22,787,1941.9,30,88.27,32.36,3
37,22,742,1964.6,30,89.3,33.36,3
38,21,789,1970.2,31,93.82,35.57,3
39,21,741,1996.9,31,95.09,36.57,3
40,20,787,2006.5,32,100.33,37.4,3
41,19,745,2029.2,33,106.8,38.21,3
42,17,802,2030.9,35,119.47,38.76,3
43,17,765,2050.7,35,120.63,39.76,3
44,16,813,2062.4,36,128.9,42.69,3
45,16,781,2078.1,36,129.88,43.69,3
46,16,833,2075.9,36,129.74,44.69,3
47,16,809,2083.6,36,130.23,45.69,3
48,16,841,2088.3,36,130.52,46.69,3
49,16,806,2107.1,36,131.69,47.69,3
50,16,832,2118.8,36,132.43,48.69,3
51,15,807,2128.6,37,141.9,49.53,3
52,15,840,2132.3,37,142.15,50.53,3
53,13,809,2150.1,39,165.39,51.15,3
54,13,842,2158.9,39,166.07,52.15,3
55,13,808,2179.7,39,167.67,53.15,3
56,13,844,2182.5,39,167.88,54.15,3
57,13,811,2202.3,39,169.4,55.15,3
58,13,840,2210.0,39,170.0,56.15,3
59,13,804,2232.8,39,171.76,57.15,3
60,12,842,2233.6,40,186.14,57.92,3
61,11,817,2246.4,41,204.22,58.64,3
62,10,853,2245.3,42,224.53,63.0,3
63,10,834,2254.1,42,225.41,64.0,3
64,10,866,2253.9,42,225.39,65.0,3
65,10,837,2272.8,42,227.28,66.0,3
66,10,867,2271.6,42,227.16,67.0,3
67,10,853,2275.4,42,227.54,68.0,3
68,9,874,2276.3,43,252.92,69.0,3
69,9,851,2290.1,43,254.46,70.0,3
70,9,874,2293.0,43,254.78,71.0,3
71,9,842,2315.8,43,257.32,72.0,3
72,9,869,2317.7,43,257.52,73.0,3
73,9,856,2321.5,43,257.95,74.0,3
74,9,879,2318.4,43,257.6,75.0,3
75,9,864,2324.2,43,258.25,76.0,3
76,8,887,2321.1,44,290.14,77.0,3
77,8,873,2327.0,44,290.87,78.0,3
78,8,896,2319.9,44,289.98,79.0,3
79,8,881,2326.7,44,290.84,80.0,3
80,8,899,2324.6,44,290.57,81.0,3
81,8,882,2333.5,44,291.68,82.0,3
82,8,889,2340.3,44,292.54,83.0,3
83,8,874,2347.2,44,293.4,84.0,3
84,8,884,2353.1,44,294.13,85.0,3
85,8,869,2359.9,44,294.99,86.0,3
86,7,886,2362.8,45,337.54,87.0,3
87,7,870,2371.7,45,338.81,88.0,3
88,7,886,2378.6,45,339.8,89.0,3
89,7,874,2383.5,45,340.5,90.0,3
90,7,895,2384.4,45,340.62,91.0,3
91,7,880,2392.2,45,341.75,92.0,3
92,7,898,2392.1,45,341.73,93.0,3
93,7,886,2397.0,45,342.43,94.0,3
94,7,899,2397.9,45,342.56,95.0,3
95,6,888,2402.8,46,400.47,96.0,3
96,6,907,2397.7,46,399.62,97.0,3
97,6,890,2408.6,46,401.43,98.0,3
98,6,897,2415.5,46,402.58,99.0,3
99,6,882,2424.4,46,404.07,100.0,3
100,6,894,2426.3,46,404.38,101.0,3
101,6,881,2433.2,46,405.53,102.0,3
102,6,891,2435.1,46,405.85,103.0,3
103,6,876,2444.0,46,407.33,104.0,3
104,6,888,2448.9,46,408.15,105.0,3
105,6,881,2449.8,46,408.3,106.0,3
106,6,895,2453.7,46,408.95,107.0,3
107,6,886,2456.6,46,409.43,108.0,3
108,6,892,2467.5,46,411.25,109.0,3
109,6,875,2478.4,46,413.07,110.0,3
110,6,885,2486.3,46,414.38,111.0,3
111,6,876,2489.2,46,414.87,112.0,3
112,6,894,2486.1,46,414.35,113.0,3
113,6,887,2487.0,46,414.5,114.0,3
114,6,903,2483.9,46,413.99,115.0,3
115,6,886,2494.8,46,415.8,116.0,3
116,6,898,2497.7,46,416.29,117.0,3
117,6,886,2503.6,46,417.27,118.0,3
118,6,894,2509.5,46,418.25,119.0,3
119,6,884,2513.4,46,418.9,120.0,3
120,6,890,2520.3,46,420.05,121.0,3
121,6,874,2530.2,46,421.7,122.0,3
122,6,882,2539.1,46,423.19,123.0,3
123,6,865,2550.0,46,425.0,124.0,3
124,6,877,2557.9,46,426.32,125.0,3
125,6,866,2562.8,46,427.14,126.0,3
126,6,879,2569.7,46,428.29,127.0,3
127,6,857,2585.6,46,430.94,128.0,3
128,6,871,2594.5,46,432.42,129.0,3
129,6,861,2598.4,46,433.07,130.0,3
130,6,888,2592.3,46,432.05,131.0,3
131,6,873,2601.2,46,433.54,132.0,3
132,6,889,2602.1,46,433.69,133.0,3
133,6,871,2614.0,46,435.67,134.0,3
134,6,888,2613.9,46,435.66,135.0,3
135,6,875,2620.8,46,436.81,136.0,3
136,6,887,2622.7,46,437.12,137.0,3
137,6,871,2632.6,46,438.77,138.0,3
138,6,889,2632.5,46,438.76,139.0,3
139,6,878,2637.4,46,439.57,140.0,3
140,6,898,2635.3,46,439.22,141.0,3
141,6,884,2643.2,46,440.54,142.0,3
142,6,901,2642.1,46,440.36,143.0,3
143,6,886,2651.0,46,441.84,144.0,3
144,6,896,2653.9,46,442.32,145.0,3
145,6,879,2664.8,46,444.14,146.0,3
146,6,887,2671.7,46,445.29,147.0,3
147,5,877,2676.7,47,535.33,148.0,3
148,5,892,2679.6,47,535.92,149.0,3
149,5,879,2687.5,47,537.5,150.0,3
150,5,898,2683.4,47,536.68,151.0,3
151,4,889,2688.3,48,672.09,152.0,3
152,4,903,2688.3,48,672.07,153.0,3
153,4,896,2691.2,48,672.8,154.0,3
154,4,911,2687.2,48,671.79,155.0,3
155,4,904,2690.1,48,672.52,156.0,3
156,4,915,2687.0,48,671.75,157.0,3
157,4,906,2692.0,48,672.99,158.0,3
158,4,917,2687.9,48,671.97,159.0,3
159,4,910,2690.8,48,672.71,160.0,3
160,4,914,2690.8,48,672.69,161.0,3
161,4,910,2690.7,48,672.67,162.0,3
162,4,914,2690.6,48,672.66,163.0,3
163,4,909,2691.6,48,672.89,164.0,3
164,4,914,2693.5,48,673.37,165.0,3
165,4,907,2696.4,48,674.11,166.0,3
166,4,910,2700.4,48,675.09,167.0,3
167,3,901,2706.3,49,902.1,168.0,3
168,3,905,2712.3,49,904.09,169.0,3
169,3,902,2712.2,49,904.07,170.0,3
170,3,910,2714.2,49,904.72,171.0,3
171,3,904,2717.1,49,905.7,172.0,3
172,3,915,2714.1,49,904.69,173.0,3
173,3,912,2714.0,49,904.67,174.0,3
174,3,918,2711.0,49,903.65,175.0,3
175,3,915,2710.9,49,903.64,176.0,3
176,3,918,2711.9,49,903.95,177.0,3
177,3,912,2714.8,49,904.94,178.0,3
178,3,919,2711.8,49,903.92,179.0,3
179,3,913,2714.7,49,904.91,180.0,3
180,3,915,2716.7,49,905.56,181.0,3
181,3,912,2716.6,49,905.54,182.0,3
182,3,919,2713.6,49,904.52,183.0,3
183,3,912,2717.5,49,905.84,184.0,3
184,3,914,2719.5,49,906.49,185.0,3
185,3,907,2723.4,49,907.81,186.0,3
186,3,910,2725.4,49,908.46,187.0,3
187,3,897,2735.3,49,911.77,188.0,3
188,3,904,2736.3,49,912.09,189.0,3
189,3,896,2741.2,49,913.74,190.0,3
190,3,909,2738.2,49,912.72,191.0,3
191,3,904,2740.1,49,913.37,192.0,3
192,3,913,2741.1,49,913.69,193.0,3
193,3,905,2746.0,49,915.34,194.0,3
194,3,917,2743.0,49,914.32,195.0,3
195,3,911,2745.9,49,915.31,196.0,3
196,3,917,2745.9,49,915.29,197.0,3
197,3,911,2748.8,49,916.27,198.0,3
198,3,919,2745.8,49,915.26,199.0,3
199,3,916,2745.7,49,915.24,200.0,3
