grid_size,avg_sugar,vision,metabolism,move_rate,stay_rate,attack_rate,reproduce_rate
20,0.5,6.0,0.6669966022485205,0.3169129720853859,0.5500821018062397,0.11986863711001643,0.013136288998357963
20,0.5,1.0,0.929126270445708,0.1836734693877551,0.7918367346938775,0.0236734693877551,0.0008163265306122449
20,0.5,4.0,1.2800307334434837,0.5394912985274432,0.37617135207496655,0.05220883534136546,0.0321285140562249
20,0.5,3.0,1.1265367845598036,0.3333333333333333,0.618673647469459,0.034904013961605584,0.013089005235602094
20,0.5,1.0,1.0999915939565195,0.2175141242937853,0.7704802259887006,0.01059322033898305,0.0014124293785310734
20,0.5,3.0,0.5937877680754614,0.37509549274255155,0.5508021390374331,0.058823529411764705,0.015278838808250574
20,0.5,5.0,0.973180418445447,0.5502890173410404,0.34566473988439306,0.07976878612716763,0.024277456647398842
20,0.5,1.0,1.016494833826007,0.21039127645926875,0.7729313662604234,0.015394483643361129,0.0012828736369467607
20,0.5,4.0,1.783543075615619,0.5542521994134897,0.36950146627565983,0.05865102639296188,0.017595307917888565
20,0.5,2.0,1.757735522488605,0.2871287128712871,0.6594059405940594,0.04950495049504951,0.0039603960396039604
20,1.0,6.0,0.6669966022485205,0.36180904522613067,0.5113065326633166,0.11809045226130653,0.008793969849246231
20,1.0,1.0,0.929126270445708,0.39383321653819203,0.5704274702172389,0.03363700070077085,0.002102312543798178
20,1.0,4.0,1.2800307334434837,0.5690335305719921,0.3520710059171598,0.05325443786982249,0.02564102564102564
20,1.0,3.0,1.1265367845598036,0.6334405144694534,0.29983922829581994,0.04180064308681672,0.02491961414790997
20,1.0,1.0,1.0999915939565195,0.40570522979397783,0.572107765451664,0.01954569466455362,0.002641310089804543
20,1.0,3.0,0.5937877680754614,0.6112295664534471,0.3006396588486141,0.05970149253731343,0.028429282160625444
20,1.0,5.0,0.973180418445447,0.459915611814346,0.41455696202531644,0.0981012658227848,0.027426160337552744
20,1.0,1.0,1.016494833826007,0.42964151952915997,0.5441412520064205,0.023006955591225255,0.0032102728731942215
20,1.0,4.0,1.783543075615619,0.6367713004484304,0.2914798206278027,0.0515695067264574,0.020179372197309416
20,1.0,2.0,1.757735522488605,0.40767045454545453,0.5582386363636364,0.03125,0.002840909090909091
20,1.5,6.0,0.6669966022485205,0.591337099811676,0.2984934086629002,0.08757062146892655,0.022598870056497175
20,1.5,1.0,0.929126270445708,0.5618609406952966,0.39263803680981596,0.0408997955010225,0.004601226993865031
20,1.5,4.0,1.2800307334434837,0.7334479793637145,0.16852966466036112,0.06878761822871883,0.029234737747205503
20,1.5,3.0,1.1265367845598036,0.7679738562091504,0.1522875816993464,0.048366013071895426,0.03137254901960784
20,1.5,1.0,1.0999915939565195,0.5023160061760165,0.46062789500772,0.030365414307771486,0.0066906845084920225
20,1.5,3.0,0.5937877680754614,0.6983805668016194,0.21322537112010798,0.05668016194331984,0.03171390013495277
20,1.5,5.0,0.973180418445447,0.647766323024055,0.25687285223367695,0.06099656357388316,0.03436426116838488
20,1.5,1.0,1.016494833826007,0.5035377358490566,0.46108490566037735,0.02869496855345912,0.0066823899371069185
20,1.5,4.0,1.783543075615619,0.7089285714285715,0.22857142857142856,0.026785714285714284,0.03571428571428571
20,1.5,2.0,1.757735522488605,0.6553911205073996,0.30655391120507397,0.02854122621564482,0.009513742071881607
20,2.0,6.0,0.6669966022485205,0.5549389567147613,0.30632630410654826,0.11431742508324085,0.0244173140954495
20,2.0,1.0,0.929126270445708,0.6025179856115108,0.3567146282973621,0.03836930455635491,0.002398081534772182
20,2.0,4.0,1.2800307334434837,0.7495682210708118,0.13644214162348878,0.07512953367875648,0.038860103626943004
20,2.0,3.0,1.1265367845598036,0.7868525896414342,0.1248339973439575,0.05312084993359894,0.0351925630810093
20,2.0,1.0,1.0999915939565195,0.5097636176772867,0.4501541623843782,0.03545734840698869,0.0046248715313463515
20,2.0,3.0,0.5937877680754614,0.7353951890034365,0.18281786941580755,0.05567010309278351,0.02611683848797251
20,2.0,5.0,0.973180418445447,0.5942408376963351,0.3298429319371728,0.06806282722513089,0.007853403141361256
20,2.0,1.0,1.016494833826007,0.5388711395101171,0.42705005324813633,0.02875399361022364,0.005324813631522897
20,2.0,4.0,1.783543075615619,0.7382875605815832,0.1890145395799677,0.050080775444264945,0.022617124394184167
20,2.0,2.0,1.757735522488605,0.6055979643765903,0.356234096692112,0.026293469041560644,0.011874469889737066
20,2.5,6.0,0.6669966022485205,0.6316489361702128,0.19680851063829788,0.13962765957446807,0.031914893617021274
20,2.5,1.0,0.929126270445708,0.6119888475836431,0.3420074349442379,0.039962825278810406,0.0060408921933085506
20,2.5,4.0,1.2800307334434837,0.7496360989810772,0.17321688500727803,0.05021834061135371,0.026928675400291122
20,2.5,3.0,1.1265367845598036,0.8315847598012148,0.10215350635008283,0.03313086692435119,0.03313086692435119
20,2.5,1.0,1.0999915939565195,0.6131045241809673,0.3374934997399896,0.0436817472698908,0.005720228809152366
20,2.5,3.0,0.5937877680754614,0.7645027624309392,0.16367403314917128,0.05593922651933702,0.015883977900552487
20,2.5,5.0,0.973180418445447,0.7234212629896083,0.17346123101518784,0.0759392486011191,0.02717825739408473
20,2.5,1.0,1.016494833826007,0.5923566878980892,0.3685168334849864,0.03503184713375796,0.004094631483166515
20,2.5,4.0,1.783543075615619,0.6902356902356902,0.25140291806958476,0.03591470258136925,0.02244668911335578
20,2.5,2.0,1.757735522488605,0.683083511777302,0.27480371163454675,0.02926481084939329,0.01284796573875803
20,3.0,6.0,0.6669966022485205,0.6528599605522682,0.22781065088757396,0.09763313609467456,0.021696252465483234
20,3.0,1.0,0.929126270445708,0.6164725457570716,0.3431780366056572,0.03743760399334443,0.0029118136439267887
20,3.0,4.0,1.2800307334434837,0.76,0.14557377049180328,0.05442622950819672,0.04
20,3.0,3.0,1.1265367845598036,0.8076720966894377,0.11297950604308986,0.04046242774566474,0.03888596952180767
20,3.0,1.0,1.0999915939565195,0.5945217781769196,0.36147283340817243,0.03906600808262236,0.004939380332285586
20,3.0,3.0,0.5937877680754614,0.8020954598370198,0.1210710128055879,0.048894062863795114,0.027939464493597205
20,3.0,5.0,0.973180418445447,0.7539936102236422,0.1501597444089457,0.07348242811501597,0.022364217252396165
