step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,50,841,810.0,0,16.2,1.0,0
1,50,739,848.0,0,16.96,2.0,0
2,49,780,842.3,1,17.19,3.0,0
3,48,703,857.8,2,17.87,4.0,0
4,47,759,849.7,3,18.08,5.0,0
5,47,688,860.5,3,18.31,6.0,0
6,48,751,849.3,3,17.69,6.85,1
7,48,675,863.9,3,18.0,7.85,1
8,47,723,866.7,4,18.44,8.85,1
9,47,658,871.6,4,18.54,9.85,1
10,47,722,860.4,4,18.31,10.85,1
11,45,656,868.8,6,19.31,11.84,1
12,44,722,861.5,7,19.58,12.84,1
13,42,657,872.7,9,20.78,14.0,1
14,41,730,865.3,10,21.1,15.0,1
15,41,675,867.8,10,21.17,16.0,1
16,41,740,858.3,10,20.93,17.0,1
17,41,681,864.8,10,21.09,18.0,1
18,41,741,854.3,10,20.84,19.0,1
19,40,682,862.1,11,21.55,20.0,1
20,39,749,846.2,12,21.7,21.0,1
21,39,701,844.3,12,21.65,22.0,1
22,38,760,828.6,13,21.81,23.0,1
23,38,704,836.0,13,22.0,24.0,1
24,38,755,827.4,13,21.77,25.0,1
25,38,700,833.7,13,21.94,26.0,1
26,38,744,836.1,13,22.0,27.0,1
27,38,690,841.4,13,22.14,28.0,1
28,38,744,836.1,14,22.0,28.24,2
29,38,693,838.4,14,22.06,29.24,2
30,38,756,824.8,14,21.71,30.24,2
31,38,704,828.2,14,21.79,31.24,2
32,38,762,817.5,14,21.51,32.24,2
33,37,710,822.2,15,22.22,33.22,2
34,37,763,813.8,15,21.99,34.22,2
35,37,713,816.4,15,22.07,35.22,2
36,37,765,808.1,15,21.84,36.22,2
37,38,719,806.7,15,21.23,36.24,3
38,38,763,800.1,15,21.05,37.24,3
39,38,714,800.4,15,21.06,38.24,3
40,38,755,800.8,15,21.07,39.24,3
41,38,703,804.1,15,21.16,40.24,3
42,37,762,784.8,16,21.21,40.03,4
43,37,719,780.5,16,21.09,41.03,4
44,36,775,766.4,17,21.29,41.94,4
45,35,731,765.6,18,21.87,42.86,4
46,36,784,754.8,18,20.97,42.64,5
47,36,736,756.7,18,21.02,43.64,5
48,36,784,751.6,18,20.88,44.64,5
49,35,734,755.5,18,21.59,45.51,5
50,34,776,752.0,19,22.12,46.38,5
51,33,735,750.8,20,22.75,47.24,5
52,33,778,746.5,20,22.62,48.24,5
53,32,740,743.6,21,23.24,49.09,5
54,31,783,737.0,21,23.77,49.94,5
55,30,736,745.6,22,24.85,50.77,5
56,28,781,740.5,23,26.44,51.39,5
57,28,745,740.6,23,26.45,52.39,5
58,27,781,743.1,24,27.52,53.19,5
59,27,740,749.5,24,27.76,54.19,5
60,27,781,745.9,24,27.63,55.19,5
61,26,749,744.7,25,28.64,57.77,5
62,25,787,746.0,25,29.84,58.6,5
63,25,756,745.0,25,29.8,59.6,5
64,25,801,733.0,25,29.32,60.6,5
65,24,771,732.3,26,30.51,61.42,5
66,23,808,724.9,27,31.52,62.22,5
67,23,776,727.4,27,31.63,63.22,5
68,21,816,714.2,29,34.01,63.76,5
69,21,784,719.4,29,34.26,64.76,5
70,20,816,711.8,30,35.59,65.5,5
71,19,788,715.4,31,37.66,66.21,5
72,19,814,712.1,31,37.48,67.21,5
73,19,789,712.8,31,37.52,68.21,5
74,19,812,711.5,31,37.45,69.21,5
75,18,785,715.4,32,39.75,69.89,5
76,18,812,716.4,32,39.8,70.89,5
77,18,789,716.4,32,39.8,71.89,5
78,18,815,719.3,32,39.96,72.89,5
79,18,787,724.3,32,40.24,73.89,5
80,18,819,717.2,32,39.85,74.89,5
81,17,792,722.5,33,42.5,75.53,5
82,17,817,722.7,33,42.51,76.53,5
83,17,792,726.0,33,42.7,77.53,5
84,17,823,720.2,33,42.36,78.53,5
85,16,803,718.4,34,44.9,81.5,5
86,15,838,714.2,35,47.62,82.2,5
87,14,818,716.3,36,51.17,82.86,5
88,14,840,718.4,36,51.31,83.86,5
89,14,822,718.5,36,51.32,84.86,5
90,14,840,717.6,36,51.25,85.86,5
91,14,823,716.6,36,51.19,86.86,5
92,13,845,712.2,36,54.79,87.46,5
93,11,832,711.2,38,64.65,87.45,5
94,11,849,714.1,38,64.92,88.45,5
95,11,828,721.0,38,65.55,89.45,5
96,11,844,723.9,38,65.81,90.45,5
97,11,828,725.8,38,65.99,91.45,5
98,10,842,734.0,39,73.4,91.8,5
99,10,823,740.2,39,74.02,92.8,5
100,10,845,741.4,39,74.14,93.8,5
101,10,832,741.6,39,74.16,94.8,5
102,10,846,747.8,39,74.78,95.8,5
103,10,829,752.0,39,75.2,96.8,5
104,10,851,748.2,39,74.82,97.8,5
105,10,837,749.4,39,74.94,98.8,5
106,10,853,751.6,39,75.16,99.8,5
107,10,836,755.8,39,75.58,100.8,5
108,10,852,755.0,39,75.5,101.8,5
109,10,833,761.2,39,76.12,102.8,5
110,10,850,757.4,39,75.74,103.8,5
111,10,833,761.6,39,76.16,104.8,5
112,10,845,762.8,39,76.28,105.8,5
113,10,834,761.0,39,76.1,106.8,5
114,10,850,759.2,39,75.92,107.8,5
115,10,837,759.4,39,75.94,108.8,5
116,10,851,758.6,39,75.86,109.8,5
117,10,838,758.8,39,75.88,110.8,5
118,10,853,758.0,39,75.8,111.8,5
119,10,838,760.2,39,76.02,112.8,5
120,10,856,755.4,39,75.54,113.8,5
121,10,843,755.6,39,75.56,114.8,5
122,10,861,748.8,39,74.88,115.8,5
123,10,847,750.0,39,75.0,116.8,5
124,10,857,750.2,39,75.02,117.8,5
125,10,843,751.4,39,75.14,118.8,5
126,9,859,746.9,40,82.99,122.22,5
127,9,847,747.4,40,83.04,123.22,5
128,9,859,747.9,40,83.1,124.22,5
129,9,849,746.4,40,82.93,125.22,5
130,8,864,743.5,40,92.94,125.62,5
131,8,852,745.3,40,93.16,126.62,5
132,8,868,742.0,40,92.75,127.62,5
133,8,856,743.8,40,92.97,128.62,5
134,9,867,743.6,40,82.62,115.22,6
135,8,847,753.3,41,94.16,130.62,6
136,7,859,756.4,42,108.05,130.86,6
137,7,851,755.4,42,107.91,131.86,6
138,7,860,760.4,42,108.63,132.86,6
