step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,50,1211,773.7,0,15.47,1.0,0
1,50,1125,803.3,0,16.07,2.0,0
2,50,1157,806.0,0,16.12,3.0,0
3,49,1090,817.8,1,16.69,4.0,0
4,49,1135,825.6,1,16.85,5.0,0
5,48,1067,839.5,2,17.49,6.0,0
6,47,1131,833.6,3,17.74,7.0,0
7,45,1073,840.9,5,18.69,8.0,0
8,44,1126,843.3,6,19.17,9.0,0
9,44,1058,861.8,6,19.59,10.0,0
10,44,1107,870.2,6,19.78,11.0,0
11,43,1046,882.8,7,20.53,12.0,0
12,43,1100,890.3,7,20.71,13.0,0
13,43,1040,901.9,7,20.97,14.0,0
14,43,1107,899.4,7,20.92,15.0,0
15,43,1054,904.0,7,21.02,16.0,0
16,43,1122,898.6,7,20.9,17.0,0
17,43,1072,900.1,7,20.93,18.0,0
18,43,1134,892.7,7,20.76,19.0,0
19,43,1084,894.2,7,20.8,20.0,0
20,43,1140,886.8,7,20.62,21.0,0
21,42,1085,894.5,8,21.3,22.0,0
22,42,1139,884.2,8,21.05,23.0,0
23,41,1086,890.3,8,21.71,24.0,0
24,41,1136,882.1,8,21.51,25.0,0
25,40,1087,886.0,9,22.15,26.0,0
26,40,1134,886.0,9,22.15,27.0,0
27,40,1085,889.9,9,22.25,28.0,0
28,40,1142,879.8,9,22.0,29.0,0
29,40,1090,886.8,9,22.17,30.0,0
30,40,1152,873.7,9,21.84,31.0,0
31,40,1099,881.6,9,22.04,32.0,0
32,39,1142,881.8,9,22.61,33.0,0
33,39,1089,890.8,9,22.84,34.0,0
34,39,1136,884.9,9,22.69,35.0,0
35,39,1087,891.1,10,22.85,35.08,1
36,38,1141,879.3,11,23.14,37.0,1
37,38,1093,884.5,11,23.28,38.0,1
38,38,1140,882.7,11,23.23,39.0,1
39,37,1097,884.0,12,23.89,40.0,1
40,37,1145,875.3,12,23.66,41.0,1
41,37,1095,883.6,12,23.88,42.0,1
42,37,1146,877.9,12,23.73,43.0,1
43,37,1099,883.2,12,23.87,44.0,1
44,36,1146,884.3,12,24.56,45.0,1
45,36,1096,893.7,12,24.83,46.0,1
46,36,1139,897.1,12,24.92,47.0,1
47,35,1086,910.7,13,26.02,48.0,1
48,35,1135,909.3,13,25.98,49.0,1
49,34,1084,922.0,14,27.12,50.0,1
50,34,1138,913.7,14,26.87,51.0,1
51,33,1094,920.0,14,27.88,52.0,1
52,33,1147,913.8,14,27.69,53.0,1
53,32,1112,912.7,15,28.52,54.0,1
54,32,1165,907.7,15,28.37,55.0,1
55,32,1126,910.6,15,28.46,56.0,1
56,32,1166,908.6,15,28.39,57.0,1
57,31,1121,918.7,16,29.63,58.0,1
58,30,1162,914.9,17,30.5,59.0,1
59,29,1127,916.7,17,31.61,60.0,1
60,29,1167,914.0,17,31.52,61.0,1
61,29,1126,922.3,17,31.8,62.0,1
62,29,1168,917.7,17,31.64,63.0,1
63,29,1131,922.0,17,31.79,64.0,1
64,29,1165,918.3,17,31.67,65.0,1
65,29,1128,922.7,17,31.82,66.0,1
66,29,1164,919.0,17,31.69,67.0,1
67,29,1124,926.3,17,31.94,68.0,1
68,28,1158,926.8,18,33.1,69.0,1
69,28,1121,932.2,18,33.29,70.0,1
70,28,1156,935.7,18,33.42,71.0,1
71,28,1118,942.1,18,33.65,72.0,1
72,28,1160,938.6,18,33.52,73.0,1
73,27,1129,939.2,19,34.78,74.0,1
74,27,1173,931.8,19,34.51,75.0,1
75,27,1139,935.3,19,34.64,76.0,1
76,27,1168,932.9,19,34.55,77.0,1
77,27,1132,938.5,19,34.76,78.0,1
78,27,1167,931.1,19,34.49,79.0,1
79,27,1137,930.7,19,34.47,80.0,1
80,27,1162,934.3,19,34.6,81.0,1
81,27,1124,941.8,19,34.88,82.0,1
82,26,1162,932.6,20,35.87,83.0,1
83,26,1131,934.3,20,35.93,84.0,1
84,25,1168,926.1,21,37.04,85.0,1
85,25,1141,924.9,21,37.0,86.0,1
86,22,1175,919.9,22,41.81,87.0,1
87,21,1151,919.3,22,43.77,88.0,1
88,21,1176,921.6,22,43.89,89.0,1
89,21,1142,932.0,22,44.38,90.0,1
90,21,1175,930.3,22,44.3,91.0,1
91,21,1141,940.6,22,44.79,92.0,1
92,21,1167,941.0,22,44.81,93.0,1
93,21,1136,948.3,22,45.16,94.0,1
94,20,1168,946.7,22,47.33,95.0,1
95,20,1141,951.2,22,47.56,96.0,1
96,20,1167,951.6,22,47.58,97.0,1
97,20,1140,956.1,22,47.81,98.0,1
98,20,1177,950.6,22,47.53,99.0,1
99,19,1145,961.2,23,50.59,100.0,1
100,19,1179,955.8,23,50.3,101.0,1
101,19,1156,957.4,23,50.39,102.0,1
102,19,1175,961.0,23,50.58,103.0,1
103,19,1152,962.5,23,50.66,104.0,1
104,19,1177,959.1,23,50.48,105.0,1
105,19,1156,958.7,23,50.46,106.0,1
106,19,1182,954.3,23,50.23,107.0,1
107,19,1161,953.9,23,50.21,108.0,1
108,19,1182,954.5,23,50.24,109.0,1
109,19,1160,955.1,23,50.27,110.0,1
110,18,1180,958.8,24,53.27,111.0,1
111,17,1154,965.7,25,56.81,112.0,1
112,17,1175,972.5,25,57.21,113.0,1
113,17,1152,976.4,25,57.43,114.0,1
114,17,1179,973.2,25,57.25,115.0,1
115,17,1159,974.1,25,57.3,116.0,1
116,17,1183,969.9,25,57.06,117.0,1
117,17,1165,968.8,25,56.99,118.0,1
118,17,1190,960.6,25,56.51,119.0,1
119,17,1168,963.5,25,56.68,120.0,1
120,17,1187,962.3,25,56.61,121.0,1
121,17,1163,967.2,25,56.89,122.0,1
122,17,1185,963.0,25,56.65,123.0,1
123,17,1161,967.9,25,56.93,124.0,1
124,17,1180,967.7,25,56.93,125.0,1
125,17,1157,971.6,25,57.15,126.0,1
126,16,1176,974.5,25,60.91,127.0,1
127,16,1157,975.5,25,60.97,128.0,1
128,16,1173,981.4,25,61.34,129.0,1
129,16,1150,986.4,25,61.65,130.0,1
130,16,1172,989.4,25,61.84,131.0,1
131,15,1154,990.5,26,66.03,132.0,1
132,13,1183,985.9,28,75.84,133.0,1
133,12,1164,991.3,29,82.61,134.0,1
134,12,1189,990.8,29,82.57,135.0,1
135,12,1173,993.3,29,82.78,136.0,1
136,12,1196,992.8,29,82.73,137.0,1
137,12,1180,995.3,29,82.94,138.0,1
138,12,1198,994.7,29,82.9,139.0,1
139,12,1177,1002.2,29,83.52,140.0,1
140,12,1194,1001.7,29,83.48,141.0,1
141,12,1179,1003.2,29,83.6,142.0,1
142,13,1197,996.7,29,76.67,132.0,2
143,13,1180,999.0,29,76.85,133.0,2
144,13,1195,999.4,29,76.88,134.0,2
145,14,1182,997.7,29,71.27,125.36,3
146,13,1200,993.1,30,76.39,136.0,3
147,13,1184,994.4,30,76.5,137.0,3
148,13,1197,994.8,30,76.52,138.0,3
149,13,1179,998.2,30,76.78,139.0,3
150,13,1196,997.5,30,76.73,140.0,3
151,13,1179,999.9,30,76.91,141.0,3
152,13,1186,1010.2,30,77.71,142.0,3
153,13,1172,1009.6,30,77.66,143.0,3
154,13,1189,1011.9,30,77.84,144.0,3
155,13,1171,1015.3,30,78.1,145.0,3
156,13,1186,1020.6,30,78.51,146.0,3
157,13,1170,1022.0,30,78.62,147.0,3
158,13,1185,1029.4,30,79.18,148.0,3
159,13,1169,1030.7,30,79.29,149.0,3
160,13,1189,1035.1,30,79.62,150.0,3
161,13,1174,1035.4,30,79.65,151.0,3
162,13,1200,1033.8,30,79.52,152.0,3
163,13,1180,1039.1,30,79.93,153.0,3
164,13,1195,1043.5,30,80.27,154.0,3
165,13,1181,1042.8,30,80.22,155.0,3
166,13,1199,1044.2,30,80.32,156.0,3
167,13,1179,1049.5,30,80.73,157.0,3
168,13,1197,1053.9,30,81.07,158.0,3
169,13,1179,1057.3,30,81.33,159.0,3
170,13,1195,1060.6,30,81.59,160.0,3
171,13,1181,1060.0,30,81.54,161.0,3
172,13,1197,1060.3,30,81.56,162.0,3
173,13,1181,1061.7,30,81.67,163.0,3
174,13,1197,1063.0,30,81.77,164.0,3
175,13,1176,1069.4,30,82.26,165.0,3
176,13,1198,1067.7,30,82.13,166.0,3
177,13,1182,1069.1,30,82.24,167.0,3
178,13,1203,1069.5,30,82.27,168.0,3
179,13,1183,1074.8,30,82.68,169.0,3
180,13,1204,1073.2,30,82.55,170.0,3
181,13,1186,1076.5,30,82.81,171.0,3
182,13,1206,1074.9,30,82.68,172.0,3
183,13,1185,1081.2,30,83.17,173.0,3
184,13,1201,1082.6,30,83.28,174.0,3
185,13,1181,1087.9,30,83.69,175.0,3
186,13,1201,1086.3,30,83.56,176.0,3
187,13,1185,1087.6,30,83.67,177.0,3
188,13,1209,1083.0,30,83.31,178.0,3
189,13,1192,1085.4,30,83.49,179.0,3
190,13,1210,1082.7,30,83.29,180.0,3
191,13,1190,1088.1,30,83.7,181.0,3
192,13,1202,1093.4,30,84.11,182.0,3
193,13,1189,1091.8,30,83.98,183.0,3
194,13,1209,1085.1,30,83.47,184.0,3
195,13,1187,1092.5,30,84.04,185.0,3
196,13,1205,1086.8,30,83.6,186.0,3
197,13,1188,1089.2,30,83.78,187.0,3
198,13,1202,1088.6,30,83.73,188.0,3
199,13,1183,1094.0,31,84.16,173.62,4
