step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,49,615,774.3,1,15.8,1.0,0
1,48,539,788.8,2,16.43,2.0,0
2,47,567,787.7,3,16.76,3.0,0
3,46,503,792.8,4,17.23,4.0,0
4,46,549,782.9,4,17.02,5.0,0
5,46,498,775.0,4,16.85,6.0,0
6,45,553,758.4,5,16.85,7.0,0
7,44,504,751.1,6,17.07,8.0,0
8,43,541,748.1,7,17.4,9.0,0
9,43,484,750.0,7,17.44,10.0,0
10,42,535,737.3,8,17.55,11.0,0
11,42,479,739.5,8,17.61,12.0,0
12,42,525,735.7,8,17.52,13.0,0
13,42,463,744.0,8,17.71,14.0,0
14,42,521,728.2,8,17.34,15.0,0
15,41,471,725.7,9,17.7,16.0,0
16,39,524,714.8,11,18.33,17.0,0
17,39,473,715.9,11,18.36,18.0,0
18,38,525,704.3,12,18.53,19.0,0
19,37,477,704.9,13,19.05,20.0,0
20,34,527,696.0,15,20.47,21.0,0
21,34,488,691.5,15,20.34,22.0,0
22,34,538,679.9,15,20.0,23.0,0
23,32,495,681.4,16,21.29,24.0,0
24,31,541,668.5,16,21.56,25.0,0
25,31,504,665.8,16,21.48,26.0,0
26,31,545,656.1,16,21.16,27.0,0
27,30,505,657.7,17,21.92,28.0,0
28,29,546,645.6,18,22.26,29.0,0
29,29,508,646.4,18,22.29,30.0,0
30,28,541,639.8,18,22.85,31.0,0
31,28,504,641.0,18,22.89,32.0,0
32,28,542,631.2,18,22.54,33.0,0
33,28,507,630.3,18,22.51,34.0,0
34,28,543,623.5,18,22.27,35.0,0
35,28,508,622.6,18,22.24,36.0,0
36,28,544,614.8,18,21.96,37.0,0
37,28,506,617.0,18,22.03,38.0,0
38,28,538,620.1,18,22.15,39.0,0
39,27,508,615.6,19,22.8,40.0,0
40,27,553,603.0,19,22.33,41.0,0
41,26,518,604.7,20,23.26,42.0,0
42,26,556,595.4,20,22.9,43.0,0
43,25,524,595.4,21,23.82,44.0,0
44,25,552,593.4,21,23.74,45.0,0
45,25,513,600.4,21,24.02,46.0,0
46,25,547,594.4,21,23.78,47.0,0
47,25,514,595.4,21,23.82,48.0,0
48,24,551,589.2,21,24.55,49.0,0
49,24,524,585.4,21,24.39,50.0,0
50,24,558,577.7,21,24.07,51.0,0
51,23,529,577.3,22,25.1,52.0,0
52,21,562,570.6,23,27.17,53.0,0
