step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,50,1143,844.7,0,16.89,1.0,0
1,49,999,933.5,1,19.05,2.0,0
2,49,1026,963.3,1,19.66,3.0,0
3,49,939,995.1,1,20.31,4.0,0
4,48,997,1014.0,2,21.12,5.0,0
5,48,911,1045.9,2,21.79,6.0,0
6,48,986,1063.9,2,22.16,7.0,0
7,47,915,1081.9,3,23.02,8.0,0
8,46,991,1098.1,4,23.87,9.0,0
9,46,921,1116.3,4,24.27,10.0,0
10,45,1000,1121.6,5,24.92,11.0,0
11,45,929,1141.9,5,25.37,12.0,0
12,45,1004,1148.2,5,25.52,13.0,0
13,45,931,1170.5,5,26.01,14.0,0
14,45,1005,1176.8,5,26.15,15.0,0
15,45,936,1195.1,5,26.56,16.0,0
16,44,1018,1183.4,6,26.9,17.0,0
17,45,957,1194.8,6,26.55,17.6,1
18,45,1024,1194.1,6,26.54,18.6,1
19,45,949,1218.4,6,27.08,19.6,1
20,45,1008,1223.8,6,27.19,20.6,1
21,43,951,1232.3,8,28.66,21.58,1
22,42,1016,1236.0,9,29.43,22.57,1
23,41,959,1246.8,10,30.41,23.56,1
24,42,1028,1247.6,10,29.71,23.98,2
25,42,964,1264.3,10,30.1,24.98,2
26,42,1025,1270.0,10,30.24,25.98,2
27,40,974,1275.9,12,31.9,26.93,2
28,40,1036,1276.9,12,31.92,27.93,2
29,40,985,1282.8,12,32.07,28.93,2
30,39,1052,1275.9,13,32.71,29.9,2
31,39,990,1293.9,13,33.18,30.9,2
32,39,1036,1307.0,13,33.51,31.9,2
33,39,976,1323.1,13,33.92,32.9,2
34,39,1034,1328.1,13,34.05,33.9,2
35,37,971,1349.5,15,36.47,34.84,2
36,37,1030,1354.8,15,36.62,35.84,2
37,37,979,1364.1,15,36.87,36.84,2
38,37,1036,1367.4,15,36.96,37.84,2
39,36,976,1386.9,16,38.52,38.81,2
40,35,1038,1391.4,17,39.75,39.77,2
41,35,987,1403.0,17,40.09,40.77,2
42,34,1051,1402.7,18,41.26,41.74,2
43,34,996,1419.4,18,41.75,42.74,2
44,34,1043,1431.1,18,42.09,43.74,2
45,33,993,1443.9,19,43.75,44.7,2
46,33,1046,1454.7,19,44.08,45.7,2
47,33,986,1477.6,19,44.77,46.7,2
48,33,1046,1483.4,19,44.95,47.7,2
49,33,994,1498.2,19,45.4,48.7,2
50,33,1049,1502.0,19,45.52,49.7,2
51,33,998,1515.9,19,45.94,50.7,2
52,33,1055,1515.7,19,45.93,51.7,2
53,33,994,1539.5,19,46.65,52.7,2
54,33,1050,1540.3,19,46.68,53.7,2
55,33,998,1555.2,19,47.13,54.7,2
56,33,1054,1556.0,19,47.15,55.7,2
57,33,1006,1566.8,19,47.48,56.7,2
58,33,1063,1566.6,19,47.47,57.7,2
59,33,1011,1582.6,20,47.96,56.88,3
60,33,1051,1594.4,20,48.32,57.88,3
61,33,1003,1605.2,20,48.64,58.88,3
62,33,1057,1601.0,20,48.52,59.88,3
63,33,1012,1608.9,20,48.75,60.88,3
64,33,1060,1614.7,20,48.93,61.88,3
65,34,1009,1628.5,20,47.9,61.03,4
66,34,1069,1620.2,20,47.65,62.03,4
67,34,1017,1633.9,20,48.06,63.03,4
68,32,1065,1640.9,22,51.28,63.72,4
69,32,1012,1657.8,22,51.81,64.72,4
70,33,1051,1672.8,22,50.69,63.73,5
71,32,985,1701.6,23,53.17,64.5,5
72,32,1034,1714.5,23,53.58,65.5,5
73,32,990,1722.5,23,53.83,66.5,5
74,31,1050,1724.6,24,55.63,69.19,5
75,31,1004,1735.7,24,55.99,70.19,5
76,31,1059,1739.7,24,56.12,71.19,5
77,30,1012,1752.9,25,58.43,72.0,5
78,30,1063,1759.1,25,58.64,73.0,5
79,30,1016,1772.3,25,59.08,74.0,5
80,30,1064,1777.5,25,59.25,75.0,5
81,30,1021,1786.7,25,59.56,76.0,5
82,30,1063,1797.0,25,59.9,77.0,5
83,30,1009,1817.2,25,60.57,78.0,5
84,30,1052,1824.4,25,60.81,79.0,5
85,31,1011,1831.6,25,59.08,77.42,6
