x,y,capacity
5,0,1
44,0,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
1,2,1
2,2,1
3,2,2
4,2,2
5,2,2
6,2,2
7,2,2
8,2,1
9,2,1
40,2,1
41,2,1
42,2,2
43,2,2
44,2,2
45,2,2
46,2,2
47,2,1
48,2,1
1,3,1
2,3,2
3,3,3
4,3,3
5,3,3
6,3,3
7,3,3
8,3,2
9,3,1
40,3,1
41,3,2
42,3,3
43,3,3
44,3,3
45,3,3
46,3,3
47,3,2
48,3,1
1,4,1
2,4,2
3,4,3
4,4,4
5,4,4
6,4,4
7,4,3
8,4,2
9,4,1
40,4,1
41,4,2
42,4,3
43,4,4
44,4,4
45,4,4
46,4,3
47,4,2
48,4,1
0,5,1
1,5,1
2,5,2
3,5,3
4,5,4
5,5,5
6,5,4
7,5,3
8,5,2
9,5,1
10,5,1
39,5,1
40,5,1
41,5,2
42,5,3
43,5,4
44,5,5
45,5,4
46,5,3
47,5,2
48,5,1
49,5,1
1,6,1
2,6,2
3,6,3
4,6,4
5,6,4
6,6,4
7,6,3
8,6,2
9,6,1
40,6,1
41,6,2
42,6,3
43,6,4
44,6,4
45,6,4
46,6,3
47,6,2
48,6,1
1,7,1
2,7,2
3,7,3
4,7,3
5,7,3
6,7,3
7,7,3
8,7,2
9,7,1
40,7,1
41,7,2
42,7,3
43,7,3
44,7,3
45,7,3
46,7,3
47,7,2
48,7,1
1,8,1
2,8,1
3,8,2
4,8,2
5,8,3
6,8,2
7,8,2
8,8,3
9,8,1
40,8,1
41,8,3
42,8,2
43,8,2
44,8,3
45,8,2
46,8,2
47,8,1
48,8,1
2,9,1
3,9,1
4,9,1
5,9,3
6,9,1
7,9,1
8,9,1
9,9,3
10,9,1
39,9,1
40,9,3
41,9,1
42,9,1
43,9,1
44,9,3
45,9,1
46,9,1
47,9,1
4,10,1
5,10,3
6,10,1
9,10,1
10,10,3
11,10,1
38,10,1
39,10,3
40,10,1
43,10,1
44,10,3
45,10,1
4,11,1
5,11,3
6,11,1
10,11,1
11,11,3
12,11,1
37,11,1
38,11,3
39,11,1
43,11,1
44,11,3
45,11,1
4,12,1
5,12,3
6,12,1
11,12,1
12,12,3
13,12,1
36,12,1
37,12,3
38,12,1
43,12,1
44,12,3
45,12,1
4,13,1
5,13,3
6,13,1
12,13,1
13,13,3
14,13,1
35,13,1
36,13,3
37,13,1
43,13,1
44,13,3
45,13,1
4,14,1
5,14,3
6,14,1
13,14,1
14,14,3
15,14,1
34,14,1
35,14,3
36,14,1
43,14,1
44,14,3
45,14,1
4,15,1
5,15,3
6,15,1
14,15,1
15,15,3
16,15,1
33,15,1
34,15,3
35,15,1
43,15,1
44,15,3
45,15,1
4,16,1
5,16,3
6,16,1
15,16,1
16,16,3
17,16,1
32,16,1
33,16,3
34,16,1
43,16,1
44,16,3
45,16,1
4,17,1
5,17,3
6,17,1
16,17,1
17,17,3
18,17,1
31,17,1
32,17,3
33,17,1
43,17,1
44,17,3
45,17,1
4,18,1
5,18,3
6,18,1
17,18,1
18,18,3
19,18,1
30,18,1
31,18,3
32,18,1
43,18,1
44,18,3
45,18,1
4,19,1
5,19,3
6,19,1
18,19,1
19,19,3
20,19,1
29,19,1
30,19,3
31,19,1
43,19,1
44,19,3
45,19,1
4,20,1
5,20,3
6,20,1
19,20,1
20,20,3
21,20,1
28,20,1
29,20,3
30,20,1
43,20,1
44,20,3
45,20,1
4,21,1
5,21,3
6,21,1
20,21,1
21,21,3
22,21,1
27,21,1
28,21,3
29,21,1
43,21,1
44,21,3
45,21,1
4,22,1
5,22,3
6,22,1
21,22,1
22,22,3
23,22,1
26,22,1
27,22,3
28,22,1
43,22,1
44,22,3
45,22,1
4,23,1
5,23,3
6,23,1
22,23,1
23,23,3
24,23,1
25,23,1
26,23,3
27,23,1
43,23,1
44,23,3
45,23,1
4,24,1
5,24,3
6,24,1
23,24,1
24,24,3
25,24,3
26,24,1
43,24,1
44,24,3
45,24,1
4,25,1
5,25,3
6,25,1
23,25,1
24,25,3
25,25,3
26,25,1
43,25,1
44,25,3
45,25,1
4,26,1
5,26,3
6,26,1
22,26,1
23,26,3
24,26,1
25,26,1
26,26,3
27,26,1
43,26,1
44,26,3
45,26,1
4,27,1
5,27,3
6,27,1
21,27,1
22,27,3
23,27,1
26,27,1
27,27,3
28,27,1
43,27,1
44,27,3
45,27,1
4,28,1
5,28,3
6,28,1
20,28,1
21,28,3
22,28,1
27,28,1
28,28,3
29,28,1
43,28,1
44,28,3
45,28,1
4,29,1
5,29,3
6,29,1
19,29,1
20,29,3
21,29,1
28,29,1
29,29,3
