step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,49,1217,773.3,1,15.78,1.0,0
1,49,1142,800.6,1,16.34,2.0,0
2,49,1152,820.9,2,16.75,2.94,1
3,49,1080,845.2,2,17.25,3.94,1
4,48,1123,859.5,3,17.91,4.94,1
5,48,1060,875.8,3,18.25,5.94,1
6,48,1126,871.1,3,18.15,6.94,1
7,48,1078,872.4,3,18.17,7.94,1
8,48,1138,876.7,3,18.26,8.94,1
9,48,1085,883.0,3,18.39,9.94,1
10,47,1135,880.2,4,18.73,10.94,1
11,47,1082,887.5,4,18.88,11.94,1
12,47,1119,897.7,4,19.1,12.94,1
13,46,1055,917.0,5,19.93,13.93,1
14,46,1111,922.2,5,20.05,14.93,1
15,46,1054,934.4,5,20.31,15.93,1
16,45,1118,927.2,5,20.6,16.93,1
17,44,1072,930.4,6,21.15,17.93,1
18,43,1120,931.5,7,21.66,18.93,1
19,42,1072,938.2,7,22.34,19.93,1
20,42,1124,939.3,7,22.36,20.93,1
21,40,1077,947.4,9,23.68,21.93,1
22,40,1130,946.4,9,23.66,22.93,1
23,40,1079,958.5,9,23.96,23.93,1
24,38,1134,961.5,11,25.3,24.92,1
25,37,1085,974.5,12,26.34,25.92,1
26,35,1134,977.7,13,27.93,26.91,1
27,34,1089,989.6,14,29.1,27.91,1
28,34,1136,996.5,14,29.31,28.91,1
29,34,1091,1008.4,14,29.66,29.91,1
30,33,1146,1008.3,15,30.55,30.91,1
31,33,1105,1017.2,15,30.82,31.91,1
32,33,1146,1024.0,15,31.03,32.91,1
33,32,1106,1032.9,16,32.28,34.0,1
34,32,1152,1031.8,16,32.24,35.0,1
35,33,1113,1039.6,16,31.5,34.91,2
36,33,1150,1042.5,17,31.59,34.79,3
37,33,1102,1058.4,17,32.07,35.79,3
38,33,1139,1059.2,17,32.1,36.79,3
39,32,1101,1065.9,17,33.31,37.72,3
40,32,1138,1069.7,17,33.43,38.72,3
41,32,1090,1086.6,17,33.96,39.72,3
42,33,1132,1088.5,17,32.98,39.48,4
43,32,1098,1091.3,18,34.1,40.38,4
44,31,1144,1091.1,19,35.2,41.26,4
45,31,1105,1100.0,19,35.48,42.26,4
46,31,1149,1102.8,20,35.57,42.9,5
47,31,1104,1117.6,20,36.05,43.9,5
48,31,1147,1120.4,20,36.14,44.9,5
49,31,1105,1132.3,20,36.53,45.9,5
50,31,1147,1135.1,20,36.62,46.9,5
51,30,1110,1142.9,21,38.1,47.77,5
52,30,1149,1142.7,21,38.09,48.77,5
53,30,1112,1150.5,21,38.35,49.77,5
54,30,1150,1155.3,21,38.51,50.77,5
55,30,1117,1159.1,21,38.64,51.77,5
56,30,1150,1159.9,21,38.66,52.77,5
57,30,1112,1168.7,21,38.96,53.77,5
58,30,1156,1162.5,21,38.75,54.77,5
59,30,1119,1170.3,21,39.01,55.77,5
60,30,1148,1176.2,21,39.21,56.77,5
61,29,1111,1184.3,21,40.84,57.62,5
