x,y,capacity
1,0,1
2,0,1
3,0,2
4,0,2
5,0,2
6,0,2
7,0,2
8,0,1
9,0,1
20,0,1
21,0,1
22,0,2
23,0,2
24,0,2
25,0,2
26,0,2
27,0,1
28,0,1
0,1,1
1,1,1
2,1,2
3,1,2
4,1,3
5,1,3
6,1,3
7,1,2
8,1,2
9,1,1
10,1,1
19,1,1
20,1,1
21,1,2
22,1,2
23,1,3
24,1,3
25,1,3
26,1,2
27,1,2
28,1,1
29,1,1
0,2,1
1,2,2
2,2,2
3,2,3
4,2,3
5,2,3
6,2,3
7,2,3
8,2,2
9,2,2
10,2,1
11,2,1
18,2,1
19,2,1
20,2,2
21,2,2
22,2,3
23,2,3
24,2,3
25,2,3
26,2,3
27,2,2
28,2,2
29,2,1
0,3,2
1,3,2
2,3,3
3,3,3
4,3,4
5,3,4
6,3,4
7,3,3
8,3,3
9,3,2
10,3,2
11,3,1
18,3,1
19,3,2
20,3,2
21,3,3
22,3,3
23,3,4
24,3,4
25,3,4
26,3,3
27,3,3
28,3,2
29,3,2
0,4,2
1,4,3
2,4,3
3,4,4
4,4,4
5,4,5
6,4,4
7,4,4
8,4,3
9,4,3
10,4,2
11,4,1
12,4,1
13,4,1
14,4,1
15,4,1
16,4,1
17,4,1
18,4,1
19,4,2
20,4,3
21,4,3
22,4,4
23,4,4
24,4,5
25,4,4
26,4,4
27,4,3
28,4,3
29,4,2
0,5,2
1,5,3
2,5,3
3,5,4
4,5,5
5,5,5
6,5,5
7,5,4
8,5,3
9,5,3
10,5,3
11,5,3
12,5,3
13,5,3
14,5,3
15,5,3
16,5,3
17,5,3
18,5,3
19,5,3
20,5,3
21,5,3
22,5,4
23,5,5
24,5,5
25,5,5
26,5,4
27,5,3
28,5,3
29,5,2
0,6,2
1,6,3
2,6,3
3,6,4
4,6,4
5,6,5
6,6,4
7,6,4
8,6,3
9,6,3
10,6,2
11,6,1
12,6,1
13,6,1
14,6,1
15,6,1
16,6,1
17,6,1
18,6,1
19,6,2
20,6,3
21,6,3
22,6,4
23,6,4
24,6,5
25,6,4
26,6,4
27,6,3
28,6,3
29,6,2
0,7,2
1,7,2
2,7,3
3,7,3
4,7,4
5,7,4
6,7,4
7,7,3
8,7,3
9,7,2
10,7,2
11,7,1
18,7,1
19,7,2
20,7,2
21,7,3
22,7,3
23,7,4
24,7,4
25,7,4
26,7,3
27,7,3
28,7,2
29,7,2
0,8,1
1,8,2
2,8,2
3,8,3
4,8,3
5,8,3
6,8,3
7,8,3
8,8,2
9,8,2
10,8,1
11,8,1
18,8,1
19,8,1
20,8,2
21,8,2
22,8,3
23,8,3
24,8,3
25,8,3
26,8,3
27,8,2
28,8,2
29,8,1
0,9,1
1,9,1
2,9,2
3,9,2
4,9,3
5,9,3
6,9,3
7,9,2
8,9,2
9,9,1
10,9,1
19,9,1
20,9,1
21,9,2
22,9,2
23,9,3
24,9,3
25,9,3
26,9,2
27,9,2
28,9,1
29,9,1
1,10,1
2,10,1
3,10,2
4,10,2
5,10,3
6,10,2
7,10,2
8,10,1
9,10,1
20,10,1
21,10,1
22,10,2
23,10,2
24,10,3
25,10,2
26,10,2
27,10,1
28,10,1
2,11,1
3,11,1
4,11,1
5,11,3
6,11,1
7,11,1
8,11,1
21,11,1
22,11,1
23,11,1
24,11,3
25,11,1
26,11,1
27,11,1
4,12,1
5,12,3
6,12,1
23,12,1
24,12,3
25,12,1
4,13,1
5,13,3
6,13,1
23,13,1
24,13,3
25,13,1
4,14,1
5,14,3
6,14,1
23,14,1
24,14,3
25,14,1
4,15,1
5,15,3
6,15,1
23,15,1
24,15,3
25,15,1
4,16,1
5,16,3
6,16,1
23,16,1
24,16,3
25,16,1
4,17,1
5,17,3
6,17,1
23,17,1
24,17,3
25,17,1
2,18,1
3,18,1
4,18,1
5,18,3
6,18,1
7,18,1
8,18,1
21,18,1
22,18,1
23,18,1
24,18,3
25,18,1
26,18,1
27,18,1
1,19,1
2,19,1
3,19,2
4,19,2
5,19,3
6,19,2
7,19,2
8,19,1
9,19,1
20,19,1
21,19,1
22,19,2
23,19,2
24,19,3
25,19,2
26,19,2
27,19,1
28,19,1
0,20,1
1,20,1
2,20,2
3,20,2
4,20,3
5,20,3
6,20,3
7,20,2
8,20,2
9,20,1
10,20,1
19,20,1
20,20,1
21,20,2
22,20,2
23,20,3
24,20,3
25,20,3
26,20,2
27,20,2
28,20,1
29,20,1
0,21,1
1,21,2
2,21,2
3,21,3
4,21,3
5,21,3
6,21,3
7,21,3
8,21,2
9,21,2
10,21,1
11,21,1
18,21,1
19,21,1
20,21,2
21,21,2
22,21,3
23,21,3
24,21,3
25,21,3
26,21,3
27,21,2
28,21,2
29,21,1
0,22,2
1,22,2
2,22,3
3,22,3
4,22,4
5,22,4
6,22,4
7,22,3
8,22,3
9,22,2
10,22,2
11,22,1
18,22,1
19,22,2
20,22,2
21,22,3
22,22,3
23,22,4
24,22,4
25,22,4
26,22,3
27,22,3
28,22,2
29,22,2
0,23,2
1,23,3
2,23,3
3,23,4
4,23,4
5,23,5
6,23,4
7,23,4
8,23,3
9,23,3
10,23,2
11,23,1
12,23,1
13,23,1
14,23,1
15,23,1
16,23,1
17,23,1
18,23,1
19,23,2
20,23,3
21,23,3
22,23,4
23,23,4
24,23,5
25,23,4
26,23,4
27,23,3
28,23,3
29,23,2
0,24,2
1,24,3
2,24,3
3,24,4
4,24,5
5,24,5
6,24,5
7,24,4
8,24,3
9,24,3
10,24,3
11,24,3
12,24,3
13,24,3
14,24,3
15,24,3
16,24,3
17,24,3
18,24,3
19,24,3
20,24,3
21,24,3
22,24,4
23,24,5
24,24,5
25,24,5
26,24,4
27,24,3
28,24,3
29,24,2
0,25,2
1,25,3
2,25,3
3,25,4
4,25,4
5,25,5
6,25,4
7,25,4
8,25,3
9,25,3
10,25,2
11,25,1
12,25,1
13,25,1
14,25,1
15,25,1
16,25,1
17,25,1
18,25,1
19,25,2
20,25,3
21,25,3
22,25,4
23,25,4
24,25,5
25,25,4
26,25,4
27,25,3
28,25,3
29,25,2
0,26,2
1,26,2
2,26,3
3,26,3
4,26,4
5,26,4
6,26,4
7,26,3
8,26,3
9,26,2
10,26,2
11,26,1
18,26,1
19,26,2
20,26,2
21,26,3
22,26,3
23,26,4
24,26,4
25,26,4
26,26,3
27,26,3
28,26,2
29,26,2
0,27,1
1,27,2
2,27,2
3,27,3
4,27,3
5,27,3
6,27,3
7,27,3
8,27,2
9,27,2
10,27,1
11,27,1
18,27,1
19,27,1
20,27,2
21,27,2
22,27,3
23,27,3
24,27,3
25,27,3
26,27,3
27,27,2
28,27,2
29,27,1
0,28,1
1,28,1
2,28,2
3,28,2
4,28,3
5,28,3
6,28,3
7,28,2
8,28,2
9,28,1
10,28,1
19,28,1
20,28,1
21,28,2
22,28,2
23,28,3
24,28,3
25,28,3
26,28,2
27,28,2
28,28,1
29,28,1
1,29,1
2,29,1
3,29,2
4,29,2
5,29,2
6,29,2
7,29,2
8,29,1
9,29,1
20,29,1
21,29,1
22,29,2
23,29,2
24,29,2
25,29,2
26,29,2
27,29,1
28,29,1
