step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,41,164,736.9,9,17.97,1.0,0
1,40,138,724.8,10,18.12,2.0,0
2,40,138,709.6,10,17.74,3.0,0
3,40,120,690.5,10,17.26,4.0,0
4,40,133,669.3,10,16.73,5.0,0
5,39,119,647.1,11,16.59,6.0,0
6,39,142,616.8,11,15.82,7.0,0
7,39,125,597.6,11,15.32,8.0,0
8,39,138,576.4,11,14.78,9.0,0
9,39,120,558.1,11,14.31,10.0,0
10,38,138,535.8,12,14.1,11.0,0
11,38,126,512.5,12,13.49,12.0,0
12,37,146,486.1,13,13.14,13.0,0
13,37,130,467.8,13,12.64,14.0,0
14,37,149,442.4,13,11.96,15.0,0
15,36,139,418.9,14,11.64,16.0,0
16,14,154,408.0,14,29.14,17.0,0
17,14,142,407.0,14,29.07,18.0,0
18,14,157,396.0,14,28.28,19.0,0
19,13,148,392.9,15,30.22,20.0,0
20,13,160,383.8,15,29.52,21.0,0
21,12,155,377.7,16,31.47,22.0,0
22,13,167,366.5,16,28.19,21.23,1
23,12,158,364.4,17,30.36,24.0,1
24,12,167,354.2,17,29.52,25.0,1
25,12,160,350.1,17,29.17,26.0,1
26,12,169,338.9,17,28.24,27.0,1
27,12,164,332.8,17,27.73,28.0,1
28,12,169,324.6,17,27.05,29.0,1
29,12,164,318.5,17,26.54,30.0,1
30,11,164,316.0,17,28.73,31.0,1
31,11,159,310.8,17,28.25,32.0,1
32,6,163,308.8,17,51.47,33.0,1
33,6,156,310.3,17,51.71,34.0,1
34,6,164,307.7,17,51.28,35.0,1
35,5,159,308.0,18,61.61,36.0,1
36,5,170,303.4,18,60.68,37.0,1
37,5,162,306.8,18,61.35,38.0,1
38,5,171,302.1,18,60.42,39.0,1
39,5,161,307.5,18,61.49,40.0,1
40,5,162,312.8,18,62.56,41.0,1
41,4,157,314.1,19,78.53,42.0,1
42,4,164,312.4,19,78.1,43.0,1
43,4,159,313.7,19,78.42,44.0,1
44,4,168,310.0,19,77.49,45.0,1
45,4,165,309.2,19,77.31,46.0,1
46,4,172,305.5,19,76.38,47.0,1
47,4,167,306.8,19,76.7,48.0,1
48,3,172,305.6,19,101.87,49.0,1
49,3,169,305.8,19,101.94,50.0,1
50,3,174,303.0,19,101.01,51.0,1
51,3,169,305.3,19,101.75,52.0,1
52,3,172,305.5,19,101.82,53.0,1
53,3,167,307.7,19,102.56,54.0,1
54,3,172,304.9,19,101.63,55.0,1
55,3,165,309.1,19,103.03,56.0,1
56,3,169,309.3,19,103.11,57.0,1
57,3,166,309.5,19,103.18,58.0,1
58,2,171,307.7,20,153.84,59.0,1
59,2,167,309.8,20,154.91,60.0,1
60,2,170,311.0,20,155.48,61.0,1
61,2,167,312.1,20,156.05,62.0,1
62,2,173,310.2,20,155.12,63.0,1
63,2,169,312.4,20,156.19,64.0,1
64,2,175,310.5,20,155.26,65.0,1
65,2,173,310.7,20,155.33,66.0,1
66,2,176,308.8,20,154.4,67.0,1
67,2,174,308.9,20,154.47,68.0,1
68,2,176,307.1,20,153.54,69.0,1
69,2,172,309.2,20,154.62,70.0,1
70,2,175,307.4,20,153.69,71.0,1
71,2,173,307.5,20,153.76,72.0,1
72,2,176,305.7,20,152.83,73.0,1
73,2,168,311.8,20,155.9,74.0,1
74,2,172,309.9,20,154.97,75.0,1
75,2,168,312.1,20,156.04,76.0,1
76,2,173,310.2,20,155.11,77.0,1
77,2,171,310.4,20,155.18,78.0,1
78,2,174,308.5,20,154.25,79.0,1
79,2,168,312.6,20,156.32,80.0,1
80,2,170,313.8,20,156.9,81.0,1
81,2,163,318.9,20,159.47,82.0,1
82,2,170,317.1,20,158.54,83.0,1
83,2,166,319.2,20,159.61,84.0,1
84,2,173,317.4,20,158.68,85.0,1
85,2,170,318.5,20,159.25,86.0,1
86,2,172,319.6,20,159.82,87.0,1
87,2,170,319.8,20,159.89,88.0,1
88,2,172,320.9,20,160.46,89.0,1
89,2,170,321.1,20,160.53,90.0,1
90,2,174,319.2,20,159.6,91.0,1
91,2,172,319.3,20,159.67,92.0,1
92,2,176,317.5,20,158.75,93.0,1
93,2,174,317.6,20,158.82,94.0,1
94,2,175,318.8,20,159.39,95.0,1
95,2,167,324.9,20,162.46,96.0,1
96,2,168,328.1,20,164.03,97.0,1
97,2,164,330.2,20,165.1,98.0,1
98,2,170,328.3,20,164.17,99.0,1
99,2,166,330.5,20,165.24,100.0,1
100,2,170,330.6,20,165.31,101.0,1
101,2,164,334.8,20,167.38,102.0,1
102,2,166,338.9,20,169.45,103.0,1
103,2,160,343.1,20,171.53,104.0,1
104,2,167,344.2,20,172.1,105.0,1
105,2,165,344.3,20,172.17,106.0,1
106,2,171,345.5,20,172.74,107.0,1
107,2,167,347.6,20,173.81,108.0,1
108,2,171,348.8,20,174.38,109.0,1
109,2,169,348.9,20,174.45,110.0,1
110,2,173,350.0,20,175.02,111.0,1
111,2,169,352.2,20,176.09,112.0,1
112,2,174,350.3,20,175.16,113.0,1
113,2,168,354.5,20,177.23,114.0,1
114,2,174,352.6,20,176.3,115.0,1
115,2,170,354.8,20,177.38,116.0,1
116,2,171,357.9,20,178.95,117.0,1
117,2,167,360.0,20,180.02,118.0,1
118,2,172,358.2,20,179.09,119.0,1
119,2,168,360.3,20,180.16,120.0,1
120,2,170,363.5,20,181.73,121.0,1
121,2,162,369.6,20,184.8,122.0,1
122,2,168,370.7,20,185.37,123.0,1
123,2,165,371.9,20,185.94,124.0,1
124,2,169,374.0,20,187.01,125.0,1
125,2,167,374.2,20,187.08,126.0,1
126,2,171,374.3,20,187.16,127.0,1
127,2,169,374.5,20,187.23,128.0,1
128,2,172,375.6,20,187.8,129.0,1
129,2,170,375.7,20,187.87,130.0,1
130,2,176,373.9,20,186.94,131.0,1
131,2,174,374.0,20,187.01,132.0,1
132,2,177,372.2,20,186.08,133.0,1
133,2,169,378.3,20,189.15,134.0,1
134,2,172,377.4,20,188.72,135.0,1
135,2,169,378.6,20,189.29,136.0,1
136,2,169,381.7,20,190.86,137.0,1
137,2,167,381.9,20,190.93,138.0,1
138,2,172,380.0,20,190.01,139.0,1
139,2,166,384.2,20,192.08,140.0,1
140,2,168,387.3,20,193.65,141.0,1
141,2,162,391.4,20,195.72,142.0,1
142,2,167,392.6,20,196.29,143.0,1
143,2,162,395.7,20,197.86,144.0,1
144,2,171,393.9,20,196.93,145.0,1
145,2,167,396.0,20,198.0,146.0,1
146,2,173,397.1,20,198.57,147.0,1
147,2,167,401.3,20,200.64,148.0,1
148,2,168,407.4,20,203.71,149.0,1
149,2,166,407.6,20,203.79,150.0,1
150,2,172,405.7,20,202.86,151.0,1
151,2,170,405.9,20,202.93,152.0,1
152,2,172,407.0,20,203.5,153.0,1
153,2,167,410.1,20,205.07,154.0,1
154,2,172,408.3,20,204.14,155.0,1
155,2,168,410.4,20,205.21,156.0,1
156,2,174,408.6,20,204.28,157.0,1
157,2,170,410.7,20,205.35,158.0,1
158,2,172,411.8,20,205.92,159.0,1
159,2,168,414.0,20,206.99,160.0,1
160,2,171,414.1,20,207.07,161.0,1
161,2,169,414.3,20,207.14,162.0,1
162,2,174,412.4,20,206.21,163.0,1
163,2,168,416.6,20,208.28,164.0,1
164,2,171,417.7,20,208.85,165.0,1
165,2,167,419.8,20,209.92,166.0,1
166,2,171,420.0,20,209.99,167.0,1
167,2,169,420.1,20,210.06,168.0,1
168,2,172,421.3,20,210.63,169.0,1
169,2,170,421.4,20,210.7,170.0,1
170,2,175,419.5,20,209.77,171.0,1
171,2,173,419.7,20,209.84,172.0,1
172,2,175,420.8,20,210.42,173.0,1
173,2,173,421.0,20,210.49,174.0,1
174,2,176,419.1,20,209.56,175.0,1
175,2,174,419.3,20,209.63,176.0,1
176,2,177,417.4,20,208.7,177.0,1
177,2,173,419.5,20,209.77,178.0,1
178,2,172,422.7,20,211.34,179.0,1
179,2,168,424.8,20,212.41,180.0,1
180,2,170,426.0,20,212.98,181.0,1
181,2,168,426.1,20,213.05,182.0,1
182,2,173,424.2,20,212.12,183.0,1
183,2,169,426.4,20,213.2,184.0,1
184,2,174,424.5,20,212.27,185.0,1
185,2,170,426.7,20,213.34,186.0,1
186,2,175,424.8,20,212.41,187.0,1
187,2,171,427.0,20,213.48,188.0,1
188,2,175,425.1,20,212.55,189.0,1
189,2,173,425.2,20,212.62,190.0,1
190,2,176,423.4,20,211.69,191.0,1
191,2,174,423.5,20,211.76,192.0,1
192,2,176,421.7,20,210.83,193.0,1
193,2,174,421.8,20,210.9,194.0,1
194,2,176,419.9,20,209.97,195.0,1
195,2,174,420.1,20,210.05,196.0,1
196,2,176,418.2,20,209.12,197.0,1
197,2,172,420.4,20,210.19,198.0,1
198,2,175,418.5,20,209.26,199.0,1
199,2,173,418.7,20,209.33,200.0,1
