step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,46,414,732.2,4,15.92,1.0,0
1,43,376,721.7,7,16.78,2.0,0
2,43,375,708.3,7,16.47,3.0,0
3,43,342,692.9,7,16.11,4.0,0
4,42,364,672.5,8,16.01,5.0,0
5,42,326,663.2,8,15.79,6.0,0
6,41,360,638.0,9,15.56,7.0,0
7,41,336,615.9,9,15.02,8.0,0
8,41,358,598.7,9,14.6,9.0,0
9,41,328,582.5,9,14.21,10.0,0
10,41,355,565.3,9,13.79,11.0,0
11,40,327,548.2,10,13.71,12.0,0
12,40,362,524.2,10,13.1,13.0,0
13,33,330,516.5,10,15.65,14.0,0
14,33,360,504.3,10,15.28,15.0,0
15,33,327,500.2,10,15.16,16.0,0
16,32,353,492.1,10,15.38,17.0,0
17,29,323,489.5,13,16.88,18.0,0
18,28,356,481.2,13,17.19,19.0,0
19,26,327,480.3,14,18.47,20.0,0
20,25,366,463.0,15,18.52,21.0,0
21,25,337,463.9,15,18.55,22.0,0
22,25,361,452.7,15,18.11,23.0,0
23,25,337,448.5,15,17.94,24.0,0
24,24,364,435.7,15,18.15,25.0,0
25,22,338,435.3,15,19.79,26.0,0
26,19,363,429.0,15,22.58,27.0,0
27,18,342,428.6,15,23.81,28.0,0
28,18,360,431.3,15,23.96,29.0,0
29,18,339,432.1,15,24.0,30.0,0
30,17,362,430.9,16,25.35,31.0,0
31,16,343,431.9,17,26.99,32.0,0
32,15,370,427.0,18,28.47,33.0,0
33,15,345,435.1,18,29.01,34.0,0
34,15,370,429.2,18,28.61,35.0,0
35,15,350,432.3,18,28.82,36.0,0
36,14,376,425.5,19,30.39,37.0,0
37,14,359,426.8,19,30.48,38.0,0
38,13,380,424.1,20,32.62,39.0,0
39,13,364,425.5,20,32.73,40.0,0
40,13,389,416.8,20,32.06,41.0,0
41,13,374,417.2,20,32.09,42.0,0
42,13,396,409.5,20,31.5,43.0,0
43,13,384,406.9,20,31.3,44.0,0
44,13,396,403.2,20,31.02,45.0,0
45,13,382,402.6,20,30.97,46.0,0
46,13,399,392.9,20,30.23,47.0,0
47,12,387,390.8,20,32.57,48.0,0
48,11,403,385.4,21,35.04,49.0,0
49,11,393,383.0,21,34.82,50.0,0
50,10,407,376.9,21,37.69,51.0,0
51,10,397,375.6,21,37.56,52.0,0
52,10,408,372.3,21,37.23,53.0,0
53,10,395,374.1,21,37.41,54.0,0
54,10,400,378.8,21,37.88,55.0,0
55,10,382,385.5,21,38.55,56.0,0
56,10,397,384.3,21,38.43,57.0,0
57,10,378,392.0,21,39.2,58.0,0
58,10,397,387.7,21,38.77,59.0,0
59,10,379,394.5,21,39.45,60.0,0
60,10,393,400.2,21,40.02,61.0,0
61,11,379,402.9,21,36.63,56.36,1
62,11,397,399.6,21,36.32,57.36,1
63,11,379,405.2,21,36.83,58.36,1
64,11,397,401.8,21,36.52,59.36,1
65,10,387,400.5,22,40.05,59.8,1
66,10,399,397.2,22,39.72,60.8,1
67,10,383,402.0,22,40.2,61.8,1
68,10,395,398.7,22,39.87,62.8,1
69,10,386,396.4,22,39.64,63.8,1
70,9,400,388.7,22,43.19,64.11,1
71,10,394,384.5,22,38.45,58.6,2
72,9,404,381.4,23,42.38,66.11,2
73,9,396,379.3,23,42.14,67.11,2
74,9,405,376.1,23,41.79,68.11,2
75,9,398,373.0,23,41.44,69.11,2
76,9,406,368.8,23,40.98,70.11,2
77,9,399,365.7,23,40.63,71.11,2
78,9,406,361.6,23,40.17,72.11,2
79,9,395,362.4,23,40.27,73.11,2
80,9,399,363.3,23,40.36,74.11,2
81,9,388,364.1,23,40.46,75.11,2
82,9,399,360.0,23,40.0,76.11,2
83,9,391,357.9,23,39.76,77.11,2
84,10,403,352.7,23,35.27,70.3,3
85,9,390,354.5,24,39.38,69.67,3
86,8,399,354.3,24,44.29,68.62,3
87,8,389,355.3,24,44.42,69.62,3
88,8,399,357.3,24,44.66,70.62,3
89,8,380,367.3,24,45.91,71.62,3
90,8,395,364.3,24,45.54,72.62,3
91,8,381,369.3,24,46.16,73.62,3
92,7,392,374.4,25,53.48,72.0,3
93,6,386,373.6,26,62.27,69.5,3
94,6,402,369.9,26,61.64,70.5,3
95,6,396,369.1,26,61.52,71.5,3
96,6,407,369.3,26,61.56,72.5,3
97,6,401,368.6,26,61.43,73.5,3
98,6,410,367.8,26,61.31,74.5,3
99,6,403,368.1,26,61.35,75.5,3
100,6,411,364.3,26,60.72,76.5,3
101,6,405,363.6,26,60.59,77.5,3
102,6,413,359.8,26,59.97,78.5,3
103,6,404,362.0,26,60.34,79.5,3
104,6,412,357.3,26,59.55,80.5,3
105,6,406,356.5,26,59.42,81.5,3
106,6,413,351.8,26,58.63,82.5,3
107,6,406,352.0,26,58.67,83.5,3
108,6,409,354.2,26,59.04,84.5,3
109,6,398,358.5,26,59.75,85.5,3
110,6,409,353.7,26,58.95,86.5,3
111,6,403,353.0,26,58.83,87.5,3
112,6,410,353.2,26,58.87,88.5,3
113,6,399,357.4,26,59.57,89.5,3
114,6,407,356.7,26,59.45,90.5,3
115,6,400,356.9,26,59.49,91.5,3
116,6,406,357.2,26,59.53,92.5,3
117,7,396,360.4,26,51.49,80.14,4
118,7,404,360.5,26,51.5,81.14,4
119,6,397,360.8,27,60.13,95.5,4
120,6,404,363.0,27,60.5,96.5,4
121,6,392,368.2,27,61.37,97.5,4
122,6,404,364.5,27,60.75,98.5,4
123,6,398,363.7,27,60.62,99.5,4
124,6,406,363.0,27,60.49,100.5,4
125,6,393,369.2,27,61.53,101.5,4
126,6,403,368.4,27,61.41,102.5,4
127,6,397,367.7,27,61.28,103.5,4
128,6,406,365.9,27,60.99,104.5,4
129,6,398,367.2,27,61.19,105.5,4
130,6,410,363.4,27,60.57,106.5,4
131,6,400,366.6,27,61.11,107.5,4
132,6,409,367.9,27,61.32,108.5,4
133,6,399,371.1,27,61.86,109.5,4
134,6,409,368.4,27,61.4,110.5,4
135,6,396,374.6,27,62.44,111.5,4
136,6,401,379.9,27,63.31,112.5,4
137,6,394,380.1,27,63.35,113.5,4
138,6,404,377.3,27,62.89,114.5,4
139,6,398,376.6,27,62.76,115.5,4
140,7,410,370.8,27,52.97,99.86,5
141,6,398,376.1,28,62.68,94.0,5
142,6,406,374.3,28,62.38,95.0,5
143,6,399,374.5,28,62.42,96.0,5
144,6,408,370.8,28,61.8,97.0,5
145,6,401,371.0,28,61.84,98.0,5
146,6,405,372.3,28,62.04,99.0,5
147,6,394,376.5,28,62.75,100.0,5
148,6,401,375.7,28,62.62,101.0,5
149,6,394,376.0,28,62.66,102.0,5
150,6,405,373.2,28,62.2,103.0,5
151,6,397,374.5,28,62.41,104.0,5
152,6,411,369.7,28,61.62,105.0,5
153,6,404,369.9,28,61.66,106.0,5
154,6,410,370.2,28,61.7,107.0,5
155,6,399,374.4,28,62.4,108.0,5
156,6,407,373.7,28,62.28,109.0,5
157,6,395,378.9,28,63.15,110.0,5
158,6,406,374.2,28,62.36,111.0,5
159,7,399,374.4,28,53.48,96.0,6
160,6,407,371.6,29,61.94,109.83,6
161,6,400,371.9,29,61.98,110.83,6
162,6,409,367.1,29,61.19,111.83,6
163,6,401,368.4,29,61.39,112.83,6
164,6,410,365.6,29,60.93,113.83,6
165,6,403,365.8,29,60.97,114.83,6
166,6,408,368.1,29,61.35,115.83,6
167,6,401,368.3,29,61.39,116.83,6
168,6,407,367.6,29,61.26,117.83,6
169,6,398,369.8,29,61.63,118.83,6
170,6,402,374.0,29,62.34,119.83,6
171,6,392,377.3,29,62.88,120.83,6
172,6,400,378.5,29,63.09,121.83,6
173,6,394,377.8,29,62.96,122.83,6
174,6,408,373.0,29,62.17,123.83,6
175,6,398,376.2,29,62.71,124.83,6
176,6,407,374.5,29,62.41,125.83,6
177,6,400,374.7,29,62.45,126.83,6
178,6,406,375.0,29,62.49,127.83,6
179,6,396,378.2,29,63.03,128.83,6
180,6,407,375.4,29,62.57,129.83,6
181,6,400,375.7,29,62.61,130.83,6
182,6,408,374.9,29,62.49,131.83,6
183,6,401,375.2,29,62.53,132.83,6
184,6,411,373.4,29,62.24,133.83,6
185,6,404,373.7,29,62.28,134.83,6
