id,alpha,sugar,age,vision,metabolism,x,y
13,-0.0,34.7,200,3,1.1265367845598036,4,4
57,-1.0,93.2,62,3,1.1265367845598036,2,4
58,-0.344,21.2,22,3,1.1265367845598036,2,11
43,0.574,49.5,200,3,1.1265367845598036,7,15
10,0.186,12.7,200,3,1.1265367845598036,3,11
33,0.299,72.8,200,3,1.1265367845598036,5,14
5,0.846,52.7,200,3,1.1265367845598036,3,5
9,0.321,16.7,200,3,1.1265367845598036,6,10
15,0.671,139.9,200,3,1.1265367845598036,5,16
6,-0.496,58.6,200,3,1.1265367845598036,5,15
19,0.317,82.2,200,3,1.1265367845598036,4,15
31,0.385,67.6,200,3,1.1265367845598036,6,4
29,-0.81,51.4,200,3,1.1265367845598036,1,10
55,0.445,17.3,116,3,1.1265367845598036,5,10
20,-0.364,31.3,200,3,1.1265367845598036,5,9
25,-0.599,106.8,200,3,1.1265367845598036,3,16
26,0.29,25.7,200,3,1.1265367845598036,8,10
27,-0.012,227.4,200,3,1.1265367845598036,5,3
28,0.195,42.3,200,3,1.1265367845598036,7,3
34,0.533,18.7,200,3,1.1265367845598036,4,10
21,-0.98,132.2,200,3,1.1265367845598036,5,6
0,0.615,38.7,200,3,1.1265367845598036,6,12
16,-0.089,7.7,200,3,1.1265367845598036,3,15
