step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,50,868,805.7,0,16.11,1.0,0
1,49,752,866.5,1,17.68,2.0,0
2,49,776,893.3,1,18.23,3.0,0
3,49,695,919.1,1,18.76,4.0,0
4,49,752,924.9,1,18.87,5.0,0
5,48,680,942.8,2,19.64,6.0,0
6,48,746,942.7,2,19.64,7.0,0
7,48,684,950.7,2,19.81,8.0,0
8,48,752,956.6,2,19.93,9.0,0
9,48,676,978.5,2,20.39,10.0,0
10,48,746,983.4,2,20.49,11.0,0
11,48,680,995.4,2,20.74,12.0,0
12,48,746,1000.3,2,20.84,13.0,0
13,48,677,1015.2,2,21.15,14.0,0
14,47,747,1019.3,3,21.69,15.0,0
15,46,678,1036.4,4,22.53,16.0,0
16,46,741,1042.6,4,22.67,17.0,0
17,44,678,1054.9,6,23.98,18.0,0
18,44,739,1064.4,6,24.19,19.0,0
19,44,677,1076.8,6,24.47,20.0,0
20,44,751,1071.2,6,24.35,21.0,0
21,44,695,1077.7,6,24.49,22.0,0
22,43,769,1068.2,7,24.84,23.0,0
23,43,706,1082.8,7,25.18,24.0,0
24,43,756,1087.3,7,25.29,25.0,0
25,43,704,1090.9,7,25.37,26.0,0
26,42,762,1080.6,8,25.73,27.0,0
27,41,711,1085.4,9,26.47,28.0,0
28,41,768,1078.2,9,26.3,29.0,0
29,41,719,1081.0,9,26.37,30.0,0
30,41,769,1079.8,9,26.34,31.0,0
31,41,714,1088.6,9,26.55,32.0,0
32,40,769,1083.6,9,27.09,33.0,0
33,40,717,1090.6,9,27.26,34.0,0
34,40,763,1092.5,9,27.31,35.0,0
35,40,712,1098.4,9,27.46,36.0,0
36,40,771,1090.4,9,27.26,37.0,0
37,40,721,1095.3,9,27.38,38.0,0
38,40,770,1091.3,9,27.28,39.0,0
39,40,724,1092.2,9,27.3,40.0,0
40,40,767,1092.1,9,27.3,41.0,0
41,41,716,1098.1,9,26.78,40.98,1
42,41,766,1091.9,9,26.63,41.98,1
43,41,711,1100.7,9,26.85,42.98,1
44,41,757,1102.5,9,26.89,43.98,1
45,41,701,1112.3,9,27.13,44.98,1
46,41,758,1106.1,9,26.98,45.98,1
47,40,704,1115.1,10,27.88,46.95,1
48,40,765,1109.0,10,27.73,47.95,1
49,40,713,1115.9,10,27.9,48.95,1
50,40,761,1117.9,10,27.95,49.95,1
51,40,702,1131.8,10,28.3,50.95,1
52,40,759,1132.8,10,28.32,51.95,1
53,40,706,1140.7,10,28.52,52.95,1
54,40,767,1135.6,10,28.39,53.95,1
55,41,712,1145.6,10,27.94,53.61,2
56,41,770,1143.4,10,27.89,54.61,2
57,41,714,1153.2,10,28.13,55.61,2
58,42,766,1155.0,10,27.5,55.26,3
59,42,703,1170.7,10,27.87,56.26,3
60,42,754,1166.4,10,27.77,57.26,3
61,41,702,1172.2,11,28.59,58.17,3
62,41,759,1164.0,11,28.39,59.17,3
63,40,700,1177.9,12,29.45,60.08,3
64,40,749,1182.9,12,29.57,61.08,3
65,40,695,1191.8,12,29.8,62.08,3
66,39,760,1182.4,12,30.32,62.97,3
67,39,702,1197.6,13,30.71,62.23,4
68,38,759,1193.8,14,31.42,63.08,4
69,38,706,1204.0,14,31.68,64.08,4
70,37,758,1199.3,15,32.41,64.92,4
71,37,705,1210.6,15,32.72,65.92,4
72,38,761,1203.9,15,31.68,65.16,5
73,38,712,1210.1,15,31.85,66.16,5
74,37,764,1206.4,16,32.61,68.08,5
75,37,711,1217.7,16,32.91,69.08,5
76,37,752,1223.1,16,33.06,70.08,5
