step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,49,856,824.3,1,16.82,1.0,0
1,48,739,894.6,2,18.64,2.0,0
2,48,759,930.9,2,19.39,3.0,0
3,48,685,958.2,2,19.96,4.0,0
4,48,745,971.5,2,20.24,5.0,0
5,48,672,998.7,3,20.81,5.88,1
6,47,737,1009.0,4,21.47,7.0,1
7,46,682,1020.2,6,22.18,7.83,2
8,44,761,1015.4,8,23.08,8.82,2
9,43,709,1025.5,9,23.85,9.81,2
10,42,772,1026.7,10,24.44,10.81,2
11,42,721,1036.8,10,24.69,11.81,2
12,40,778,1035.9,12,25.9,12.8,2
13,39,725,1050.9,13,26.95,13.79,2
14,38,771,1058.9,14,27.87,14.79,2
15,38,727,1065.9,14,28.05,15.79,2
16,37,781,1062.9,15,28.73,16.78,2
17,37,736,1071.9,15,28.97,17.78,2
18,35,780,1074.9,17,30.71,18.77,2
19,35,739,1081.8,17,30.91,19.77,2
20,33,791,1083.7,19,32.84,20.76,2
21,31,750,1094.5,21,35.31,21.74,2
22,31,797,1102.3,21,35.56,22.74,2
23,29,762,1109.1,23,38.25,24.0,2
24,28,801,1112.9,24,39.75,25.0,2
25,26,764,1124.6,26,43.25,26.0,2
26,26,808,1124.3,26,43.24,27.0,2
27,25,776,1132.0,27,45.28,28.0,2
28,24,818,1130.6,28,47.11,29.0,2
29,24,782,1143.3,28,47.64,30.0,2
30,24,816,1151.9,28,48.0,31.0,2
31,23,785,1160.5,29,50.46,32.0,2
32,23,827,1157.1,29,50.31,33.0,2
33,22,800,1162.7,30,52.85,34.0,2
34,22,833,1165.3,31,52.97,33.41,3
35,21,807,1170.8,32,55.75,34.33,3
36,21,830,1177.4,32,56.07,35.33,3
37,20,800,1187.9,33,59.4,36.25,3
38,20,837,1186.5,33,59.32,37.25,3
39,20,808,1196.0,33,59.8,38.25,3
40,20,844,1193.6,33,59.68,39.25,3
41,19,819,1200.1,34,63.16,40.16,3
42,18,852,1199.5,35,66.64,41.06,3
43,18,826,1208.0,35,67.11,42.06,3
44,18,849,1215.5,35,67.53,43.06,3
45,18,825,1222.0,35,67.89,44.06,3
46,18,851,1221.5,35,67.86,45.06,3
47,18,827,1228.0,35,68.22,46.06,3
48,18,857,1225.4,35,68.08,47.06,3
49,18,837,1227.9,35,68.22,48.06,3
50,18,857,1231.4,35,68.41,49.06,3
51,18,826,1244.9,35,69.16,50.06,3
52,18,847,1249.4,35,69.41,51.06,3
53,18,822,1256.9,35,69.83,52.06,3
54,18,852,1258.3,35,69.91,53.06,3
55,18,829,1263.8,35,70.21,54.06,3
56,18,854,1265.3,35,70.29,55.06,3
57,18,833,1268.8,35,70.49,56.06,3
58,18,854,1274.3,35,70.79,57.06,3
