step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,49,159,719.3,1,14.68,1.0,0
1,48,142,673.6,2,14.03,2.0,0
2,47,148,633.4,3,13.48,3.0,0
3,46,120,602.5,4,13.1,4.0,0
4,46,135,561.6,4,12.21,5.0,0
5,46,103,534.8,4,11.63,6.0,0
6,45,116,509.1,5,11.31,7.0,0
7,44,86,482.8,6,10.97,8.0,0
8,43,115,443.5,7,10.31,9.0,0
9,43,86,417.5,7,9.71,10.0,0
10,42,106,387.7,8,9.23,11.0,0
11,29,79,367.5,10,12.67,12.0,0
12,28,108,349.0,10,12.46,13.0,0
13,27,85,337.4,11,12.5,14.0,0
14,25,113,321.3,11,12.85,15.0,0
15,25,86,316.3,11,12.65,16.0,0
16,25,117,296.3,11,11.85,17.0,0
17,24,91,290.3,11,12.1,18.0,0
18,23,114,275.9,11,12.0,19.0,0
19,23,94,266.5,11,11.59,20.0,0
20,23,122,247.0,11,10.74,21.0,0
21,23,102,237.6,11,10.33,22.0,0
22,22,123,224.4,12,10.2,23.0,0
23,20,103,218.3,13,10.91,24.0,0
24,19,121,209.7,13,11.03,25.0,0
25,18,104,202.6,13,11.26,26.0,0
26,18,119,198.6,13,11.03,27.0,0
27,18,100,194.5,13,10.81,28.0,0
28,18,124,185.5,13,10.31,29.0,0
29,18,104,182.5,13,10.14,30.0,0
30,18,123,175.4,13,9.75,31.0,0
31,17,103,173.7,14,10.22,32.0,0
32,15,121,171.0,14,11.4,33.0,0
33,15,106,166.8,14,11.12,34.0,0
34,15,129,155.6,14,10.37,35.0,0
35,14,115,151.7,15,10.84,36.0,0
36,12,138,143.4,16,11.95,37.0,0
37,12,126,140.1,16,11.67,38.0,0
38,11,147,131.6,17,11.97,39.0,0
39,11,140,124.5,17,11.32,40.0,0
40,11,156,112.5,17,10.22,41.0,0
41,10,148,107.7,18,10.77,42.0,0
42,9,158,101.1,19,11.24,43.0,0
43,7,151,98.2,20,14.03,44.0,0
44,6,156,98.5,20,16.42,45.0,0
45,6,150,96.8,20,16.14,46.0,0
46,5,160,93.4,21,18.68,47.0,0
47,5,152,95.0,21,19.0,48.0,0
48,5,162,92.6,21,18.52,49.0,0
49,5,156,92.2,21,18.44,50.0,0
50,5,164,88.8,21,17.76,51.0,0
51,4,159,87.4,21,21.86,52.0,0
52,4,165,84.3,21,21.08,53.0,0
53,3,163,82.5,22,27.49,54.0,0
54,3,169,79.6,22,26.54,55.0,0
55,3,166,78.8,22,26.26,56.0,0
56,3,169,77.9,22,25.98,57.0,0
57,3,166,77.1,22,25.7,58.0,0
58,3,168,77.3,22,25.75,59.0,0
59,3,165,76.4,22,25.47,60.0,0
60,3,168,75.6,22,25.19,61.0,0
