step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,50,317,745.7,0,14.91,1.0,0
1,50,258,748.3,0,14.97,2.0,0
2,48,266,746.3,2,15.55,3.0,0
3,47,222,737.3,3,15.69,4.0,0
4,45,255,724.6,5,16.1,5.0,0
5,45,208,720.9,5,16.02,6.0,0
6,45,245,706.2,5,15.69,7.0,0
7,45,208,692.5,5,15.39,8.0,0
8,45,241,683.9,5,15.2,9.0,0
9,45,202,672.2,5,14.94,10.0,0
10,44,239,660.6,6,15.01,11.0,0
11,44,198,652.0,6,14.82,12.0,0
12,43,238,634.6,7,14.76,13.0,0
13,38,198,630.4,8,16.59,14.0,0
14,38,235,622.5,8,16.38,15.0,0
15,38,195,619.7,8,16.31,16.0,0
16,36,243,608.1,10,16.89,17.0,0
17,34,206,605.9,11,17.82,18.0,0
18,33,248,596.7,12,18.08,19.0,0
19,33,213,594.6,12,18.02,20.0,0
20,32,251,586.5,13,18.33,21.0,0
21,32,215,586.5,13,18.33,22.0,0
22,31,251,580.8,13,18.74,23.0,0
23,30,220,577.3,13,19.24,24.0,0
24,29,257,572.9,13,19.76,25.0,0
25,30,231,566.3,13,18.88,25.13,1
26,28,268,556.0,14,19.86,26.07,1
27,27,237,556.6,15,20.61,27.04,1
28,26,270,550.3,16,21.17,28.0,1
29,26,245,546.0,16,21.0,29.0,1
30,26,271,543.7,16,20.91,30.0,1
31,25,244,541.5,16,21.66,30.96,1
32,25,260,548.3,16,21.93,31.96,1
33,25,232,548.2,16,21.93,32.96,1
34,25,263,541.0,16,21.64,33.96,1
35,25,231,544.8,16,21.79,34.96,1
36,25,262,536.7,16,21.47,35.96,1
37,25,235,535.5,16,21.42,36.96,1
38,25,265,530.3,16,21.21,37.96,1
39,25,234,533.2,16,21.33,38.96,1
40,25,267,525.0,16,21.0,39.96,1
41,25,236,527.9,16,21.11,40.96,1
42,25,261,527.7,16,21.11,41.96,1
43,25,233,527.5,16,21.1,42.96,1
44,25,268,520.4,16,20.81,43.96,1
45,25,242,518.2,16,20.73,44.96,1
46,25,272,512.0,16,20.48,45.96,1
47,23,244,512.0,16,22.26,46.87,1
48,22,273,509.1,17,23.14,47.82,1
49,23,247,510.3,17,22.19,46.7,2
50,23,274,503.4,17,21.89,47.7,2
51,23,248,503.5,17,21.89,48.7,2
52,23,272,501.6,17,21.81,49.7,2
53,23,246,501.7,17,21.81,50.7,2
54,23,271,501.8,17,21.82,51.7,2
55,23,238,508.9,17,22.12,52.7,2
56,23,271,498.0,17,21.65,53.7,2
57,22,246,498.2,18,22.64,54.55,2
58,22,278,490.4,18,22.29,55.55,2
59,22,253,490.6,18,22.3,56.55,2
60,22,277,487.8,18,22.17,57.55,2
61,21,251,489.2,18,23.29,58.38,2
62,19,281,484.8,20,25.51,59.0,2
63,17,258,488.6,22,28.74,62.47,2
64,17,283,486.5,22,28.62,63.47,2
65,16,258,493.5,23,30.84,64.38,2
66,16,288,485.4,23,30.34,65.38,2
67,15,271,485.5,24,32.37,66.27,2
68,14,295,481.8,25,34.41,67.14,2
69,14,273,488.0,25,34.86,68.14,2
70,14,295,486.2,25,34.73,69.14,2
71,14,276,489.4,25,34.96,70.14,2
72,14,297,486.7,25,34.76,71.14,2
73,14,278,489.9,25,34.99,72.14,2
74,14,299,487.1,25,34.79,73.14,2
75,14,285,485.4,25,34.67,74.14,2
76,13,308,479.7,26,36.9,77.0,2
77,13,293,480.1,26,36.93,78.0,2
78,13,312,475.4,26,36.57,79.0,2
79,13,296,476.8,26,36.68,80.0,2
80,13,307,477.1,26,36.7,81.0,2
81,13,286,483.5,26,37.19,82.0,2
82,13,303,481.8,26,37.06,83.0,2
83,13,288,482.2,26,37.09,84.0,2
84,13,303,481.6,26,37.04,85.0,2
85,12,288,483.0,27,40.25,86.0,2
86,12,305,482.5,27,40.21,87.0,2
87,12,291,483.0,27,40.25,88.0,2
88,12,310,479.5,27,39.96,89.0,2
89,12,300,476.0,27,39.66,90.0,2
90,12,314,475.4,27,39.62,91.0,2
91,12,296,479.9,27,39.99,92.0,2
92,11,312,480.4,27,43.68,93.0,2
93,11,292,488.0,27,44.37,94.0,2
94,11,310,486.7,27,44.24,95.0,2
95,11,299,485.3,27,44.11,96.0,2
96,11,318,481.9,27,43.81,97.0,2
97,11,309,478.5,27,43.5,98.0,2
98,11,327,474.1,27,43.1,99.0,2
99,11,309,479.7,27,43.61,100.0,2
100,11,322,477.3,27,43.39,101.0,2
101,11,311,475.9,27,43.26,102.0,2
102,11,320,475.5,27,43.23,103.0,2
103,11,307,476.1,27,43.28,104.0,2
104,11,322,470.7,27,42.79,105.0,2
105,11,312,468.3,27,42.58,106.0,2
106,11,316,475.0,27,43.18,107.0,2
107,11,299,479.6,27,43.6,108.0,2
108,11,312,477.2,27,43.38,109.0,2
109,11,297,479.8,27,43.62,110.0,2
110,11,308,480.4,27,43.67,111.0,2
111,10,295,482.1,28,48.21,112.0,2
112,10,305,483.9,28,48.39,113.0,2
113,10,294,483.6,28,48.36,114.0,2
114,10,309,483.3,28,48.33,115.0,2
115,9,296,486.2,29,54.02,116.0,2
116,8,315,483.2,30,60.4,117.0,2
117,8,306,483.2,30,60.39,118.0,2
118,8,318,484.1,30,60.52,119.0,2
119,8,305,488.1,30,61.02,120.0,2
120,8,317,489.1,30,61.14,121.0,2
121,8,304,493.1,30,61.64,122.0,2
122,8,318,491.1,30,61.39,123.0,2
123,7,306,495.2,31,70.74,124.0,2
124,7,318,496.3,31,70.9,125.0,2
125,7,310,496.4,31,70.92,126.0,2
126,7,325,494.6,31,70.65,127.0,2
127,7,318,493.7,31,70.52,128.0,2
128,7,329,493.8,31,70.54,129.0,2
129,7,322,492.9,31,70.41,130.0,2
130,7,330,489.0,31,69.86,131.0,2
131,7,321,490.1,31,70.02,132.0,2
132,7,327,488.2,31,69.75,133.0,2
133,7,318,489.4,31,69.91,134.0,2
134,7,325,489.5,31,69.92,135.0,2
135,7,319,487.6,31,69.65,136.0,2
136,7,330,481.7,31,68.81,137.0,2
137,7,324,479.8,31,68.54,138.0,2
138,7,333,473.9,31,67.7,139.0,2
139,7,324,475.0,31,67.86,140.0,2
140,7,331,474.2,31,67.74,141.0,2
141,7,322,475.3,31,67.9,142.0,2
142,7,329,475.4,31,67.91,143.0,2
143,7,316,480.5,31,68.64,144.0,2
144,7,321,486.6,31,69.52,145.0,2
145,7,310,489.7,31,69.96,146.0,2
146,7,324,486.8,31,69.55,147.0,2
147,7,312,491.0,31,70.14,148.0,2
148,7,325,491.1,31,70.15,149.0,2
149,7,314,494.2,31,70.6,150.0,2
150,7,327,493.3,31,70.47,151.0,2
151,7,316,496.4,31,70.92,152.0,2
152,7,324,499.5,31,71.36,153.0,2
153,7,314,501.6,31,71.66,154.0,2
154,7,322,502.8,31,71.82,155.0,2
155,8,311,505.9,31,63.23,136.5,3
156,8,326,500.9,31,62.61,137.5,3
157,8,312,505.8,31,63.23,138.5,3
158,8,327,502.8,31,62.85,139.5,3
159,8,315,505.8,31,63.23,140.5,3
160,8,327,506.8,31,63.35,141.5,3
161,8,314,510.8,31,63.85,142.5,3
162,8,328,508.8,31,63.6,143.5,3
163,8,320,507.8,31,63.47,144.5,3
164,8,332,504.8,31,63.09,145.5,3
165,8,321,506.7,31,63.34,146.5,3
166,8,329,505.7,31,63.22,147.5,3
167,7,321,505.8,32,72.26,168.0,3
168,7,330,502.0,32,71.71,169.0,3
169,7,323,501.1,32,71.58,170.0,3
170,7,332,497.2,32,71.03,171.0,3
171,7,325,496.3,32,70.9,172.0,3
