step,agents_alive,total_map_sugar,total_agent_sugar,combats_total,avg_agent_sugar,avg_agent_age,births_total
0,49,1680,821.5,1,16.76,1.0,0
1,49,1560,895.9,1,18.28,2.0,0
2,48,1549,971.3,2,20.24,3.0,0
3,48,1432,1043.7,2,21.74,4.0,0
4,47,1485,1107.1,3,23.55,5.0,0
5,47,1373,1175.4,3,25.01,6.0,0
6,47,1459,1235.7,3,26.29,7.0,0
7,47,1362,1289.1,3,27.43,8.0,0
8,46,1482,1324.3,4,28.79,9.0,0
9,46,1387,1376.6,4,29.93,10.0,0
10,46,1492,1417.9,4,30.82,11.0,0
11,46,1391,1476.1,4,32.09,12.0,0
12,46,1485,1525.4,4,33.16,13.0,0
13,46,1391,1576.6,4,34.27,14.0,0
14,46,1481,1626.9,4,35.37,15.0,0
15,46,1378,1687.2,4,36.68,16.0,0
16,41,1480,1742.4,4,42.5,17.0,0
17,39,1383,1803.2,6,46.23,18.0,0
18,36,1509,1829.7,9,50.83,19.0,0
19,34,1443,1864.1,11,54.83,20.0,0
20,34,1552,1887.5,11,55.52,21.0,0
21,33,1489,1919.9,12,58.18,22.0,0
22,30,1596,1937.0,15,64.57,23.0,0
23,30,1529,1976.1,15,65.87,24.0,0
24,30,1591,2019.2,15,67.31,25.0,0
25,30,1522,2060.4,15,68.68,26.0,0
26,29,1580,2089.4,16,72.05,27.0,0
27,29,1520,2122.5,16,73.19,28.0,0
28,28,1588,2140.5,17,76.45,29.0,0
29,26,1535,2169.3,19,83.43,30.0,0
30,23,1618,2171.7,21,94.42,31.0,0
31,23,1578,2190.3,21,95.23,32.0,0
32,22,1636,2209.6,21,100.44,33.0,0
33,22,1580,2245.2,21,102.05,34.0,0
34,21,1621,2276.6,22,108.41,35.0,0
35,21,1572,2306.1,22,109.82,36.0,0
36,20,1624,2323.5,23,116.18,37.0,0
37,20,1574,2355.0,23,117.75,38.0,0
38,19,1622,2382.3,24,125.38,39.0,0
39,19,1571,2415.7,24,127.14,40.0,0
40,18,1629,2428.9,25,134.94,41.0,0
41,18,1588,2453.2,25,136.29,42.0,0
42,18,1628,2483.5,25,137.97,43.0,0
43,18,1574,2520.8,25,140.04,44.0,0
44,18,1621,2540.0,25,141.11,45.0,0
45,16,1581,2564.2,27,160.26,46.0,0
46,16,1633,2574.4,27,160.9,47.0,0
47,15,1593,2599.5,28,173.3,48.0,0
48,14,1636,2617.5,29,186.96,49.0,0
49,13,1606,2635.4,30,202.72,50.0,0
50,13,1648,2647.3,30,203.64,51.0,0
51,13,1611,2672.3,30,205.56,52.0,0
52,12,1647,2684.1,31,223.68,53.0,0
53,12,1619,2701.0,31,225.08,54.0,0
54,12,1660,2712.8,31,226.07,55.0,0
55,12,1630,2731.7,31,227.64,56.0,0
56,12,1668,2738.5,31,228.21,57.0,0
57,12,1640,2755.4,31,229.61,58.0,0
58,12,1668,2761.2,31,230.1,59.0,0
59,11,1645,2774.0,32,252.18,60.0,0
60,10,1676,2776.7,33,277.67,61.0,0
61,10,1647,2796.4,33,279.64,62.0,0
62,10,1679,2804.1,33,280.41,63.0,0
63,10,1658,2815.8,33,281.58,64.0,0
64,10,1687,2820.5,33,282.05,65.0,0
65,10,1660,2838.2,33,283.82,66.0,0
66,10,1684,2850.0,33,285.0,67.0,0
67,9,1668,2857.6,34,317.51,68.0,0
68,9,1692,2864.2,34,318.25,69.0,0
69,8,1678,2870.8,35,358.85,70.0,0
70,8,1698,2874.4,35,359.3,71.0,0
71,9,1675,2889.9,35,321.1,64.0,1
72,8,1694,2897.5,36,362.19,73.0,1
73,8,1678,2906.1,36,363.26,74.0,1
74,8,1709,2902.6,36,362.83,75.0,1
75,8,1693,2911.2,36,363.9,76.0,1
76,8,1709,2916.8,36,364.6,77.0,1
77,8,1697,2921.3,36,365.17,78.0,1
78,8,1714,2920.9,36,365.11,79.0,1
79,7,1703,2925.4,37,417.91,80.0,1
80,7,1716,2927.9,37,418.27,81.0,1
81,7,1704,2933.4,37,419.06,82.0,1
82,7,1722,2929.9,37,418.56,83.0,1
83,7,1711,2934.4,37,419.2,84.0,1
84,7,1727,2932.9,37,418.98,85.0,1
85,7,1717,2936.4,37,419.48,86.0,1
86,7,1725,2936.9,37,419.55,87.0,1
87,7,1709,2946.4,37,420.91,88.0,1
88,7,1713,2954.9,37,422.12,89.0,1
89,7,1696,2965.4,37,423.62,90.0,1
90,6,1707,2971.8,38,495.3,91.0,1
91,6,1692,2981.2,38,496.87,92.0,1
92,6,1705,2987.6,38,497.94,93.0,1
93,6,1693,2994.1,38,499.01,94.0,1
94,6,1712,2993.5,38,498.91,95.0,1
95,6,1699,3000.9,38,500.15,96.0,1
96,6,1707,3012.3,38,502.06,97.0,1
97,6,1692,3021.8,38,503.63,98.0,1
98,6,1711,3021.2,38,503.53,99.0,1
99,6,1695,3031.6,38,505.27,100.0,1
100,6,1710,3035.0,38,505.84,101.0,1
101,6,1693,3046.5,38,507.74,102.0,1
102,5,1707,3053.8,39,610.76,103.0,1
103,5,1693,3063.2,39,612.63,104.0,1
104,5,1710,3066.5,39,613.31,105.0,1
105,5,1699,3072.9,39,614.58,106.0,1
106,5,1713,3079.2,39,615.85,107.0,1
107,5,1703,3084.6,39,616.92,108.0,1
108,5,1726,3079.9,39,615.99,109.0,1
109,5,1717,3084.3,39,616.86,110.0,1
110,5,1734,3079.7,39,615.93,111.0,1
111,5,1722,3087.0,39,617.4,112.0,1
112,5,1733,3087.4,39,617.47,113.0,1
113,5,1723,3092.7,39,618.54,114.0,1
114,5,1728,3099.1,39,619.81,115.0,1
115,5,1712,3110.4,39,622.08,116.0,1
116,5,1722,3112.8,39,622.56,117.0,1
117,5,1711,3119.1,39,623.83,118.0,1
118,5,1726,3117.5,39,623.5,119.0,1
119,5,1711,3127.8,39,625.57,120.0,1
120,5,1727,3123.2,39,624.64,121.0,1
121,5,1713,3132.6,39,626.51,122.0,1
122,5,1725,3134.9,39,626.98,123.0,1
123,5,1715,3140.3,39,628.05,124.0,1
124,5,1727,3139.6,39,627.92,125.0,1
125,5,1715,3147.0,39,629.39,126.0,1
126,5,1732,3143.3,39,628.66,127.0,1
127,5,1722,3148.7,39,629.74,128.0,1
128,5,1727,3154.0,39,630.81,129.0,1
129,5,1714,3162.4,39,632.48,130.0,1
130,5,1721,3166.7,39,633.35,131.0,1
131,5,1709,3174.1,39,634.82,132.0,1
132,5,1718,3179.4,39,635.89,133.0,1
133,5,1700,3192.8,39,638.56,134.0,1
134,5,1712,3196.2,39,639.23,135.0,1
135,5,1701,3202.5,39,640.5,136.0,1
136,5,1713,3207.9,39,641.57,137.0,1
137,5,1701,3215.2,39,643.04,138.0,1
138,5,1718,3217.6,39,643.51,139.0,1
139,5,1706,3224.9,39,644.99,140.0,1
140,5,1720,3231.3,39,646.26,141.0,1
141,5,1709,3237.6,39,647.53,142.0,1
142,5,1726,3236.0,39,647.2,143.0,1
143,5,1720,3237.3,39,647.47,144.0,1
144,5,1728,3240.7,39,648.14,145.0,1
145,5,1714,3250.1,39,650.01,146.0,1
146,5,1718,3261.4,39,652.28,147.0,1
147,5,1701,3273.8,39,654.75,148.0,1
148,5,1717,3273.1,39,654.62,149.0,1
149,5,1703,3282.5,39,656.49,150.0,1
150,5,1710,3294.8,39,658.97,151.0,1
151,5,1696,3304.2,39,660.84,152.0,1
152,5,1718,3302.5,39,660.51,153.0,1
153,5,1703,3312.9,39,662.58,154.0,1
154,5,1718,3314.2,39,662.85,155.0,1
155,5,1701,3326.6,39,665.32,156.0,1
156,5,1714,3331.0,39,666.19,157.0,1
157,5,1697,3343.3,39,668.66,158.0,1
158,5,1711,3346.7,39,669.33,159.0,1
159,5,1699,3354.0,39,670.8,160.0,1
160,5,1718,3353.4,39,670.67,161.0,1
161,5,1707,3359.7,39,671.95,162.0,1
162,5,1714,3372.1,39,674.42,163.0,1
163,5,1701,3380.4,39,676.09,164.0,1
164,5,1712,3386.8,39,677.36,165.0,1
165,5,1697,3397.1,39,679.43,166.0,1
166,5,1718,3395.5,39,679.1,167.0,1
167,5,1708,3400.9,39,680.17,168.0,1
168,5,1721,3404.2,39,680.84,169.0,1
169,5,1706,3414.6,39,682.91,170.0,1
170,5,1725,3409.9,39,681.98,171.0,1
171,5,1710,3420.3,39,684.05,172.0,1
172,5,1724,3419.6,39,683.92,173.0,1
173,5,1710,3429.0,39,685.8,174.0,1
174,5,1723,3429.3,39,685.87,175.0,1
175,5,1709,3438.7,39,687.74,176.0,1
176,5,1723,3438.0,39,687.61,177.0,1
177,5,1713,3443.4,39,688.68,178.0,1
178,5,1719,3450.7,39,690.15,179.0,1
179,5,1703,3462.1,39,692.42,180.0,1
180,5,1715,3466.5,39,693.29,181.0,1
181,5,1703,3473.8,39,694.76,182.0,1
182,5,1714,3480.2,39,696.03,183.0,1
183,5,1705,3484.5,39,696.9,184.0,1
