x,y,capacity
0,0,1
1,0,1
2,0,2
3,0,2
4,0,2
5,0,2
6,0,2
7,0,2
8,0,2
9,0,1
10,0,1
11,0,1
18,0,1
19,0,1
20,0,1
21,0,2
22,0,2
23,0,2
24,0,2
25,0,2
26,0,2
27,0,2
28,0,1
29,0,1
0,1,1
1,1,2
2,1,2
3,1,3
4,1,3
5,1,3
6,1,3
7,1,3
8,1,2
9,1,2
10,1,1
11,1,1
18,1,1
19,1,1
20,1,2
21,1,2
22,1,3
23,1,3
24,1,3
25,1,3
26,1,3
27,1,2
28,1,2
29,1,1
0,2,2
1,2,2
2,2,3
3,2,3
4,2,4
5,2,4
6,2,4
7,2,3
8,2,3
9,2,2
10,2,2
11,2,1
12,2,1
17,2,1
18,2,1
19,2,2
20,2,2
21,2,3
22,2,3
23,2,4
24,2,4
25,2,4
26,2,3
27,2,3
28,2,2
29,2,2
0,3,2
1,3,3
2,3,3
3,3,4
4,3,4
5,3,4
6,3,4
7,3,4
8,3,3
9,3,3
10,3,2
11,3,2
12,3,1
13,3,1
14,3,1
15,3,1
16,3,1
17,3,1
18,3,2
19,3,2
20,3,3
21,3,3
22,3,4
23,3,4
24,3,4
25,3,4
26,3,4
27,3,3
28,3,3
29,3,2
0,4,2
1,4,3
2,4,4
3,4,4
4,4,5
5,4,5
6,4,5
7,4,4
8,4,4
9,4,3
10,4,2
11,4,2
12,4,2
13,4,2
14,4,2
15,4,2
16,4,2
17,4,2
18,4,2
19,4,2
20,4,3
21,4,4
22,4,4
23,4,5
24,4,5
25,4,5
26,4,4
27,4,4
28,4,3
29,4,2
0,5,2
1,5,3
2,5,4
3,5,4
4,5,5
5,5,5
6,5,5
7,5,4
8,5,4
9,5,3
10,5,3
11,5,3
12,5,3
13,5,3
14,5,3
15,5,3
16,5,3
17,5,3
18,5,3
19,5,3
20,5,3
21,5,4
22,5,4
23,5,5
24,5,5
25,5,5
26,5,4
27,5,4
28,5,3
29,5,2
0,6,2
1,6,3
2,6,4
3,6,4
4,6,5
5,6,5
6,6,5
7,6,4
8,6,4
9,6,3
10,6,2
11,6,2
12,6,2
13,6,2
14,6,2
15,6,2
16,6,2
17,6,2
18,6,2
19,6,2
20,6,3
21,6,4
22,6,4
23,6,5
24,6,5
25,6,5
26,6,4
27,6,4
28,6,3
29,6,2
0,7,2
1,7,3
2,7,3
3,7,4
4,7,4
5,7,4
6,7,4
7,7,4
8,7,3
9,7,3
10,7,2
11,7,2
12,7,1
13,7,1
14,7,1
15,7,1
16,7,1
17,7,1
18,7,2
19,7,2
20,7,3
21,7,3
22,7,4
23,7,4
24,7,4
25,7,4
26,7,4
27,7,3
28,7,3
29,7,2
0,8,2
1,8,2
2,8,3
3,8,3
4,8,4
5,8,4
6,8,4
7,8,3
8,8,3
9,8,2
10,8,2
11,8,1
12,8,1
17,8,1
18,8,1
19,8,2
20,8,2
21,8,3
22,8,3
23,8,4
24,8,4
25,8,4
26,8,3
27,8,3
28,8,2
29,8,2
0,9,1
1,9,2
2,9,2
3,9,3
4,9,3
5,9,3
6,9,3
7,9,3
8,9,2
9,9,2
10,9,1
11,9,1
18,9,1
19,9,1
20,9,2
21,9,2
22,9,3
23,9,3
24,9,3
25,9,3
26,9,3
27,9,2
28,9,2
29,9,1
0,10,1
1,10,1
2,10,2
3,10,2
4,10,2
5,10,3
6,10,2
7,10,2
8,10,2
9,10,1
10,10,1
11,10,1
18,10,1
19,10,1
20,10,1
21,10,2
22,10,2
23,10,2
24,10,3
25,10,2
26,10,2
27,10,2
28,10,1
29,10,1
0,11,1
1,11,1
2,11,1
3,11,2
4,11,2
5,11,3
6,11,2
7,11,2
8,11,1
9,11,1
10,11,1
19,11,1
20,11,1
21,11,1
22,11,2
23,11,2
24,11,3
25,11,2
26,11,2
27,11,1
28,11,1
29,11,1
2,12,1
3,12,1
4,12,2
5,12,3
6,12,2
7,12,1
8,12,1
21,12,1
22,12,1
23,12,2
24,12,3
25,12,2
26,12,1
27,12,1
3,13,1
4,13,2
5,13,3
6,13,2
7,13,1
22,13,1
23,13,2
24,13,3
25,13,2
26,13,1
3,14,1
4,14,2
5,14,3
6,14,2
7,14,1
22,14,1
23,14,2
24,14,3
25,14,2
26,14,1
3,15,1
4,15,2
5,15,3
6,15,2
7,15,1
22,15,1
23,15,2
24,15,3
25,15,2
26,15,1
3,16,1
4,16,2
5,16,3
6,16,2
7,16,1
22,16,1
23,16,2
24,16,3
25,16,2
26,16,1
2,17,1
3,17,1
4,17,2
5,17,3
6,17,2
7,17,1
8,17,1
21,17,1
22,17,1
23,17,2
24,17,3
25,17,2
26,17,1
27,17,1
0,18,1
1,18,1
2,18,1
3,18,2
4,18,2
5,18,3
6,18,2
7,18,2
8,18,1
9,18,1
10,18,1
19,18,1
20,18,1
21,18,1
22,18,2
23,18,2
24,18,3
25,18,2
26,18,2
27,18,1
28,18,1
29,18,1
0,19,1
1,19,1
2,19,2
3,19,2
4,19,2
5,19,3
6,19,2
7,19,2
